 90 303 00 00 30  -3.606  -1.977  13.100  13.750
 90 303 00 01 30  -3.492  -0.868  12.795  13.311
 90 303 00 02 30  -3.287   0.179  12.734  13.166
 90 303 00 03 30  -3.541   1.119  12.427  12.978
 90 303 00 04 30  -3.262   0.205  12.992  13.412
 90 303 00 05 30  -2.861  -0.505  13.056  13.402
 90 303 00 06 30  -3.441   1.536  12.154  12.872
 90 303 00 07 30  -3.705   6.753   9.746  12.649
 90 303 00 08 30  -3.993   7.722   9.024  12.604
 90 303 00 09 30  -4.245   7.871   9.004  12.708
 90 303 00 10 30  -4.027   8.213   8.875  12.754
 90 303 00 11 30  -4.206   9.014   8.121  12.872
 90 303 00 12 30  -4.342   9.165   7.796  12.805
 90 303 00 13 30  -4.363   8.731   8.245  12.799
 90 303 00 14 30  -4.385   9.599   7.545  12.974
 90 303 00 15 30  -4.739   9.363   7.680  13.009
 90 303 00 16 30  -4.637  10.058   6.895  13.050
 90 303 00 17 30  -4.880   9.837   6.901  12.985
 90 303 00 18 30  -4.444  10.443   5.331  12.563
 90 303 00 19 30  -4.157  10.825   4.808  12.560
 90 303 00 20 30  -3.920  11.229   4.327  12.666
 90 303 00 21 30  -3.825  11.323   4.205  12.676
 90 303 00 22 30  -3.265  11.329   3.868  12.445
 90 303 00 23 30  -4.825  10.796   4.556  12.685
 90 303 00 24 30  -4.652  10.936   4.937  12.880
 90 303 00 25 30  -4.361  12.364   1.786  13.270
 90 303 00 26 30  -4.377  12.519   1.344  13.333
 90 303 00 27 30  -4.441  12.560   1.197  13.380
 90 303 00 28 30  -4.361  12.835  -0.165  13.564
 90 303 00 29 30  -4.484  12.785  -0.426  13.561
 90 303 00 30 30  -4.500  12.716  -0.539  13.503
 90 303 00 31 30  -4.556  12.706  -1.008  13.538
 90 303 00 32 30  -4.605  12.753  -1.302  13.624
 90 303 00 33 30  -4.089  12.750  -2.258  13.602
 90 303 00 34 30  -3.608  12.888  -2.567  13.652
 90 303 00 35 30  -3.638  12.888  -2.804  13.693
 90 303 00 36 30  -4.165  12.830  -2.284  13.688
 90 303 00 37 30  -4.167  12.819  -2.263  13.675
 90 303 00 38 30  -3.575  13.003  -2.401  13.701
 90 303 00 39 30  -3.691  12.961  -2.409  13.691
 90 303 00 40 30  -3.682  12.966  -2.279  13.671
 90 303 00 41 30  -3.744  12.898  -2.155  13.612
 90 303 00 42 30  -3.170  13.066  -2.177  13.638
 90 303 00 43 30  -3.313  13.291  -1.479  13.784
 90 303 00 44 30  -3.407  13.320  -1.843  13.885
 90 303 00 45 30  -2.998  13.234  -2.951  13.892
 90 303 00 46 30  -3.006  13.239  -3.056  13.922
 90 303 00 47 30  -3.064  13.267  -2.830  13.912
 90 303 00 48 30  -3.206  13.308  -2.647  13.949
 90 303 00 49 30  -3.234  13.226  -2.764  13.897
 90 303 00 50 30  -3.287  13.076  -3.042  13.839
 90 303 00 51 30  -3.680  12.932  -3.039  13.809
 90 303 00 52 30  -4.164  12.729  -3.516  13.858
 90 303 00 53 30  -4.652  12.784  -2.744  13.903
 90 303 00 54 30  -4.434  13.042  -1.552  13.869
 90 303 00 55 30  -4.823  12.954  -0.717  13.854
 90 303 00 56 30  -5.209  12.845   0.749  13.909
 90 303 00 57 30  -5.346  12.899   0.230  13.984
 90 303 00 58 30  -5.365  12.928  -0.571  14.024
 90 303 00 59 30  -5.172  12.872  -0.415  13.888
 90 303 01 00 30  -5.419  12.669  -1.649  13.910
 90 303 01 01 30  -4.842  12.667  -2.974  13.987
 90 303 01 02 30  -5.327  13.161  -0.764  14.242
 90 303 01 03 30  -5.186  13.192  -1.229  14.245
 90 303 01 04 30  -4.924  13.081  -2.078  14.152
 90 303 01 05 30  -4.855  13.132  -2.915  14.307
 90 303 01 06 30  -4.582  12.983  -3.556  14.224
 90 303 01 07 30  -4.762  12.922  -3.782  14.283
 90 303 01 08 30  -4.824  12.989  -3.741  14.353
 90 303 01 09 30  -5.088  12.833  -4.049  14.389
 90 303 01 10 30  -5.240  12.766  -4.059  14.388
 90 303 01 11 30  -5.224  12.676  -4.466  14.420
 90 303 01 12 30  -5.177  12.752  -4.529  14.490
 90 303 01 13 30  -4.897  12.466  -5.232  14.397
 90 303 01 14 30  -5.018  12.639  -4.889  14.469
 90 303 01 15 30  -5.009  12.519  -5.282  14.484
 90 303 01 16 30  -5.124  12.383  -5.581  14.519
 90 303 01 17 30  -5.240  12.361  -5.593  14.546
 90 303 01 18 30  -4.938  12.266  -6.336  14.667
 90 303 01 19 30  -5.372  12.313  -5.975  14.705
 90 303 01 20 30  -5.465  12.141  -6.373  14.762
 90 303 01 21 30  -5.330  12.058  -6.526  14.716
 90 303 01 22 30  -5.271  11.825  -6.784  14.620
 90 303 01 23 30  -5.088  11.819  -6.938  14.624
 90 303 01 24 30  -5.194  11.883  -6.680  14.590
 90 303 01 25 30  -4.906  11.501  -7.403  14.533
 90 303 01 26 30  -5.035  11.543  -7.404  14.611
 90 303 01 27 30  -4.888  11.508  -7.535  14.598
 90 303 01 28 30  -4.795  11.394  -7.721  14.576
 90 303 01 29 30  -4.817  11.381  -7.619  14.519
 90 303 01 30 30  -4.911  11.333  -7.699  14.556
