 91 105 00 21 30   1.486  -0.830   0.099   1.706
 91 105 00 22 30   1.593  -0.526   0.161   1.697
 91 105 00 23 30   1.614  -0.537   0.132   1.709
 91 105 00 24 30   1.613  -0.515   0.064   1.699
 91 105 00 25 30   1.629  -0.471   0.024   1.705
 91 105 00 26 30   1.584  -0.594  -0.004   1.695
 91 105 00 27 30   1.574  -0.609  -0.066   1.690
 91 105 00 28 30   1.529  -0.716  -0.036   1.690
 91 105 00 29 30   1.550  -0.661  -0.028   1.687
 91 105 00 30 30   1.533  -0.701   0.011   1.688
 91 105 00 31 30   1.464  -0.841   0.059   1.692
 91 105 00 32 30   1.512  -0.739   0.071   1.686
 91 105 00 33 30   1.539  -0.689   0.088   1.689
 91 105 00 34 30   1.519  -0.686   0.043   1.669
 91 105 00 35 30   1.543  -0.638   0.026   1.672
 91 105 00 36 30   1.534  -0.658   0.025   1.676
 91 105 00 37 30   1.536  -0.645   0.157   1.674
 91 105 00 38 30   1.466  -0.794  -0.171   1.680
 91 105 00 39 30   1.482  -0.773  -0.070   1.675
 91 105 00 40 30   1.517  -0.699   0.010   1.673
 91 105 00 41 30   1.517  -0.709   0.006   1.677
 91 105 00 42 30   1.472  -0.793  -0.041   1.673
 91 105 00 43 30   1.474  -0.772  -0.053   1.665
 91 105 01 07 30   1.419  -0.844  -0.147   1.658
 91 105 01 08 30   1.438  -0.789  -0.155   1.648
 91 105 01 09 30   1.512  -0.638  -0.085   1.644
 91 105 01 10 30   1.504  -0.612  -0.062   1.626
 91 105 01 11 30   1.486  -0.659  -0.042   1.627
 91 105 01 12 30   1.489  -0.648  -0.005   1.626
 91 105 01 15 30   1.323  -0.907   0.099   1.612
 91 105 01 16 30   1.366  -0.856   0.025   1.618
 91 105 01 17 30   1.296  -0.948   0.051   1.609
 91 105 01 18 30   1.287  -0.957   0.017   1.609
 91 105 01 19 30   1.352  -0.869  -0.141   1.616
 91 105 01 20 30   1.335  -0.888  -0.188   1.615
 91 105 01 21 30   1.299  -0.920  -0.274   1.616
 91 105 01 23 30   1.402  -0.747  -0.031   1.592
 91 105 01 24 30   1.427  -0.677  -0.149   1.590
 91 105 01 25 30   1.348  -0.780  -0.274   1.583
 91 105 01 26 30   1.369  -0.754  -0.122   1.575
 91 105 01 27 30   1.405  -0.691   0.176   1.576
 91 105 01 28 30   1.409  -0.717   0.054   1.584
 91 105 01 29 30   1.406  -0.704  -0.021   1.574
 91 105 01 30 30   1.428  -0.681  -0.016   1.583
 91 105 01 31 30   1.406  -0.704   0.057   1.575
 91 105 01 32 30   1.419  -0.663   0.047   1.571
 91 105 01 33 30   1.434  -0.657  -0.014   1.581
 91 105 01 34 30   1.468  -0.564  -0.133   1.579
 91 105 01 35 30   1.523  -0.267  -0.330   1.587
 91 105 01 36 30   1.504  -0.228  -0.316   1.557
 91 105 01 37 30   1.506  -0.381  -0.213   1.568
 91 105 01 38 30   1.503  -0.377  -0.168   1.559
 91 105 01 39 30   1.502  -0.445  -0.116   1.571
 91 105 01 40 30   1.486  -0.497  -0.047   1.569
 91 105 01 41 30   1.522  -0.400  -0.111   1.578
 91 105 01 42 30   1.501  -0.444  -0.146   1.574
 91 105 01 43 30   1.502  -0.446  -0.124   1.572
 91 105 01 44 30   1.503  -0.466  -0.115   1.578
 91 105 01 45 30   1.491  -0.500  -0.157   1.582
 91 105 01 46 30   1.476  -0.524  -0.028   1.571
 91 105 01 47 30   1.484  -0.524  -0.019   1.575
 91 105 01 48 30   1.492  -0.493  -0.051   1.572
 91 105 01 49 30   1.496  -0.475  -0.065   1.571
 91 105 01 50 30   1.484  -0.515  -0.087   1.573
 91 105 01 51 30   1.488  -0.489  -0.104   1.571
 91 105 01 52 30   1.489  -0.487  -0.076   1.569
 91 105 01 53 30   1.483  -0.500  -0.095   1.569
 91 105 01 54 30   1.453  -0.507  -0.241   1.560
 91 105 01 55 30   1.445  -0.518  -0.222   1.552
 91 105 01 56 30   1.460  -0.519  -0.180   1.561
 91 105 01 57 30   1.475  -0.488  -0.130   1.560
 91 105 02 01 30   1.470  -0.480  -0.198   1.559
 91 105 02 02 30   1.477  -0.460  -0.221   1.562
 91 105 02 03 30   1.472  -0.464  -0.204   1.558
 91 105 02 04 30   1.462  -0.487  -0.208   1.556
 91 105 02 05 30   1.463  -0.399  -0.324   1.551
 91 105 02 06 30   1.467  -0.436  -0.213   1.546
 91 105 02 07 30   1.474  -0.454  -0.138   1.549
 91 105 02 08 30   1.459  -0.510  -0.166   1.555
 91 105 02 09 30   1.463  -0.504  -0.085   1.551
 91 105 02 10 30   1.463  -0.515  -0.022   1.552
 91 105 02 11 30   1.484  -0.430  -0.128   1.553
 91 105 02 12 30   1.523  -0.311  -0.031   1.556
 91 105 02 13 30   1.517  -0.359  -0.106   1.564
 91 105 02 14 30   1.513  -0.299  -0.237   1.561
 91 105 02 15 30   1.502  -0.359  -0.214   1.559
 91 105 02 16 30   1.498  -0.372  -0.168   1.553
 91 105 02 17 30   1.492  -0.411  -0.183   1.560
 91 105 02 18 30   1.489  -0.427  -0.192   1.562
 91 105 02 19 30   1.498  -0.402  -0.223   1.567
 91 105 02 20 30   1.510  -0.358  -0.170   1.561
 91 105 02 21 30   1.498  -0.386  -0.167   1.556
 91 105 02 22 30   1.500  -0.384  -0.179   1.559
 91 105 02 23 30   1.490  -0.419  -0.178   1.562
 91 105 02 24 30   1.500  -0.364  -0.210   1.559
 91 105 02 25 30   1.505  -0.290  -0.213   1.551
 91 105 02 26 30   1.445  -0.549   0.121   1.553
 91 105 02 27 30   1.421  -0.592   0.109   1.544
 91 105 02 28 30   1.402  -0.642   0.095   1.545
 91 105 02 29 30   1.394  -0.595   0.189   1.528
 91 105 02 30 30   1.372  -0.662   0.111   1.528
 91 105 02 31 30   1.343  -0.747   0.060   1.539
 91 105 02 32 30   1.378  -0.691   0.136   1.549
 91 105 02 33 30   1.397  -0.616   0.184   1.540
 91 105 02 34 30   1.423  -0.483   0.325   1.539
 91 105 02 35 30   1.436  -0.304   0.461   1.544
 91 105 02 36 30   1.291  -0.636   0.402   1.531
 91 105 02 37 30   1.100  -1.018   0.346   1.543
 91 105 02 38 30   1.049  -1.070   0.332   1.544
 91 105 02 39 30   1.143  -0.959   0.388   1.542
 91 105 02 40 30   1.105  -0.970   0.476   1.546
 91 105 02 41 30   1.157  -0.838   0.565   1.540
 91 105 02 42 30   1.037  -0.904   0.667   1.535
 91 105 02 43 30   0.988  -1.004   0.544   1.513
 91 105 02 44 30   1.117  -0.823   0.597   1.514
 91 105 02 45 30   1.047  -0.791   0.696   1.486
 91 105 02 46 30   0.987  -0.862   0.676   1.476
 91 105 02 47 30   0.968  -0.910   0.644   1.476
 91 105 02 48 30   1.036  -0.908   0.540   1.482
 91 105 02 49 30   1.004  -0.868   0.633   1.472
 91 105 02 50 30   0.983  -0.872   0.647   1.471
