 91 240 10 58 30  -1.102   1.982  -1.048   2.504
 91 240 10 59 30  -0.979   1.810  -1.013   2.303
 91 240 11 00 30  -0.810   2.167   0.453   2.385
 91 240 11 01 30  -0.858   2.182   0.587   2.418
 91 240 11 02 30  -0.953   2.191   0.401   2.424
 91 240 11 03 30  -1.064   2.243   0.209   2.491
 91 240 11 04 30  -1.031   2.240   0.335   2.489
 91 240 11 05 30  -0.993   2.292   0.368   2.528
 91 240 11 06 30  -0.965   2.290   0.592   2.559
 91 240 11 07 30  -1.030   2.272   0.526   2.551
 91 240 11 08 30  -1.127   2.256   0.446   2.563
 91 240 11 09 30  -1.079   2.231   0.559   2.541
 91 240 11 10 30  -1.127   2.203   0.540   2.533
 91 240 11 11 30  -1.118   2.259   0.488   2.568
 91 240 11 12 30  -1.114   2.239   0.555   2.562
 91 240 11 13 30  -1.123   2.225   0.563   2.556
 91 240 11 14 30  -1.109   2.253   0.556   2.573
 91 240 11 15 30  -1.156   2.401   0.490   2.710
 91 240 11 16 30  -1.183   2.359   0.569   2.700
 91 240 11 17 30  -1.180   2.217   0.530   2.568
 91 240 11 18 30  -1.237   2.170   0.779   2.620
 91 240 11 19 30  -1.169   2.168   0.982   2.656
 91 240 11 20 30  -1.211   2.092   1.151   2.681
 91 240 11 21 30  -1.240   2.211   0.862   2.679
 91 240 11 22 30  -1.222   2.271   0.734   2.682
 91 240 11 23 30  -1.208   2.273   0.765   2.686
 91 240 11 24 30  -1.190   2.227   0.906   2.688
 91 240 11 25 30  -1.342   2.107   1.073   2.720
 91 240 11 26 30  -1.344   2.159   1.104   2.774
 91 240 11 27 30  -1.207   2.110   1.161   2.696
 91 240 11 28 30  -1.269   2.068   1.159   2.691
 91 240 11 29 30  -1.377   2.129   1.044   2.747
 91 240 11 30 30  -1.329   2.229   0.956   2.767
 91 240 11 31 30  -1.447   2.216   0.968   2.820
 91 240 11 32 30  -1.318   2.252   0.882   2.757
 91 240 11 33 30  -1.168   2.259   0.895   2.700
 91 240 11 34 30  -1.228   2.143   0.985   2.663
 91 240 11 35 30  -1.232   2.288   0.993   2.785
 91 240 11 36 30  -1.326   2.230   1.090   2.817
 91 240 11 37 30  -1.422   2.031   1.212   2.761
 91 240 11 38 30  -1.314   2.186   1.131   2.792
 91 240 11 39 30  -1.451   1.907   1.216   2.708
 91 240 11 40 30  -1.327   2.008   1.188   2.695
 91 240 11 41 30  -1.443   1.961   1.264   2.750
 91 240 11 42 30  -1.462   1.938   1.293   2.753
 91 240 11 43 30  -1.524   1.929   1.317   2.798
 91 240 11 44 30  -1.339   2.104   1.049   2.720
 91 240 11 45 30  -1.439   1.747   1.242   2.583
 91 240 11 46 30  -1.443   1.940   1.215   2.709
 91 240 11 47 30  -1.458   1.992   1.161   2.732
 91 240 11 48 30  -1.547   1.728   1.269   2.645
 91 240 11 49 30  -1.484   1.854   1.188   2.659
 91 240 11 50 30  -1.535   1.835   1.110   2.638
 91 240 11 51 30  -1.608   1.829   1.091   2.669
 91 240 11 52 30  -1.633   1.860   1.139   2.725
 91 240 11 53 30  -1.685   1.870   1.125   2.757
 91 240 11 54 30  -1.511   1.906   1.267   2.743
 91 240 11 55 30  -1.467   1.939   1.322   2.769
 91 240 11 56 30  -1.436   1.935   1.322   2.749
 91 240 11 57 30  -1.492   1.836   1.209   2.661
 91 240 11 58 30  -1.533   1.927   1.053   2.679
 91 240 11 59 30  -1.633   1.896   1.025   2.707
 91 240 12 00 30  -1.838   1.829   0.920   2.753
 91 240 12 01 30  -1.590   1.916   1.044   2.703
 91 240 12 02 30  -1.486   2.012   1.049   2.714
 91 240 12 03 30  -1.682   1.986   1.164   2.854
 91 240 12 04 30  -1.959   1.833   1.358   3.009
