# Energy measured by solid state detector (percent of actual energy)
# Based on DEFECT.FOR,10/24/1990
#		Hydrogen	Helium	Carbon	Nitrogen	Oxygen	Neon	Argon	Iron	Krypton
#Energy/Nucleon	1	4	12	14	16	20	40	56	84
0.4		35.5	32.8	18.2	17.3	17.2	17.1	15.2	14.5	14
0.7		45.5	43.4	26.2	24.8	23.2	22.5	20.5	18.8	17.4
1		51.9	50	31.6	29.9	27.1	25.8	23.9	22.4	21.2
1.5		58.4	57.2	38.3	36.4	32.9	30.2	28.2	26.2	25.2
2.5		65.7	65.5	47.3	45.7	41.5	37.1	35	31	29.8
4		71.8	72.3	56.2	54.6	50.4	45.1	42.1	35.6	34.2
6		77	77.5	64.1	62.2	59.1	52.7	48.8	40.3	38.6
8		80.5	80.7	69.1	67.2	64.6	58.1	53.4	43.7	42.2
10		82.9	83.1	72.5	70.7	68.4	62.2	57	46.6	45.1
15		86.4	87	78.2	76.6	74.5	69.5	63.3	52.8	50.4
25		90.2	90.9	84.2	82.8	80.8	77.6	71.2	62	58.2
40		92.8	93.4	88.3	87.4	85.8	82.7	77.2	70.9	66
60		94.6	95.2	91.3	90.7	88.7	86.4	81.9	77.5	72.4
80		95.6	96	93.1	92.6	90.4	88.6	84.6	81.2	76.5
100		96.4	96.6	94	93.7	91.5	90	86.6	83.3	78.9
150		97.5	97.5	95.7	95.3	93.6	92	89.9	86.6	82.9
250		98.5	98.4	97.2	97	95.7	94.3	93.1	90.3	87.8
400		99.2	99	98.2	98	97.1	95.8	94.9	92.9	91.3
600		99.5	99.4	98.7	98.6	97.9	96.8	96.1	94.6	93.3
800		99.6	99.5	99	98.9	98.4	97.4	96.6	95.4	94.4
1000		99.7	99.6	99.2	99.1	98.7	97.7	97	95.9	95.1
10000		100	100	99.8	99.8	99.7	99.5	99.3	99	98.8
