 SWICS EFFICIENCIES FOR MG

 incident ion: Z=12, M= 23.985 amu
 carbon foil thickness= 2.5 microg/squarecm
 detector threshold= 40.0 keV, electronic FWHM= 12.0 keV
 electrons needed to trigger MCPs: TH1=1.10, TH2=1.10
 constants for sec. electrons: CONST1=0.667, CONST2=0.294

     ETOT    EPERM    EFOIL    ETOTF    EMEAS    FWHMT    PROB1   PROBSE    PROB2   PROBST    PROBT    PROB3    P3/P1    P2*P3
    [keV]  [keV/u]    [keV]    [keV]    [keV]    [keV]

 2398.500  100.000   25.012 2373.488 2070.709   88.872  0.99830  0.99984  0.99723  0.99954  1.00000  0.99954  1.00124  0.99677
 2158.650   90.000   23.416 2135.234 1847.449   86.931  0.99741  0.99979  0.99549  0.99938  1.00000  0.99938  1.00198  0.99487
 1942.785   81.000   21.850 1920.935 1648.182   85.034  0.99609  0.99971  0.99289  0.99917  1.00000  0.99917  1.00309  0.99207
 1748.507   72.900   20.334 1728.172 1468.194   82.561  0.99418  0.99962  0.98916  0.99889  1.00000  0.99889  1.00474  0.98806
 1573.656   65.610   18.884 1554.772 1307.730   80.157  0.99150  0.99949  0.98401  0.99852  1.00000  0.99852  1.00708  0.98256
 1416.290   59.049   17.511 1398.779 1164.048   77.826  0.98783  0.99931  0.97719  0.99802  1.00000  0.99802  1.01032  0.97526
 1274.661   53.144   16.221 1258.440 1034.454   75.565  0.98297  0.99908  0.96846  0.99736  1.00000  0.99736  1.01464  0.96590
 1147.195   47.830   15.019 1132.176  919.143   73.374  0.97672  0.99877  0.95766  0.99648  1.00000  0.99648  1.02023  0.95429
 1032.476   43.047   13.906 1018.570  816.548   71.250  0.96892  0.99836  0.94472  0.99531  1.00000  0.99531  1.02724  0.94029
  929.228   38.742   12.880  916.348  724.594   68.756  0.95947  0.99781  0.92966  0.99377  1.00000  0.99377  1.03575  0.92387
  836.305   34.868   11.939  824.366  642.060   65.813  0.94833  0.99708  0.91259  0.99174  1.00000  0.99174  1.04578  0.90505
  752.675   31.381   11.080  741.595  568.775   63.003  0.93551  0.99611  0.89367  0.98907  1.00000  0.98907  1.05725  0.88389
  677.407   28.243   10.297  667.110  503.713   60.321  0.92113  0.99484  0.87310  0.98558  1.00000  0.98558  1.06996  0.86050
  609.666   25.419    9.586  600.080  445.960   57.761  0.90534  0.99316  0.85110  0.98104  1.00000  0.98104  1.08361  0.83497
  548.700   22.877    8.917  539.783  392.149   55.319  0.88754  0.99097  0.82310  0.97518  1.00000  0.97518  1.09874  0.80267
