# Carrington Rotation Table
# Culled from the Internet by Sue Lepri on 22Apr2005
# $Id:$
# CR     YEAR   MO  DAY  STRT TIME
1908     1996   04  08  00:17:51
1909	 1996   05  05  06:18:55
1910	 1996   06  01  11:46:52
1911	 1996   06  28  16:56:15
1912	 1996   07  25  22:03:01
1913	 1996   08  22  03:22:18
1914	 1996   09  18  09:07:15
1915	 1996   10  15  15:34:44
1916	 1996   11  11  22:50:20
1917	 1996   12  09  06:45:35
1918	 1997   01  05  15:02:24
1919	 1997   02  01  23:15:46
1920	 1997   03  01  07:00:26
1921	 1997   03  28  14:04:59
1922	 1997   04  24  20:30:18
1923	 1997   05  22  02:16:32
1924	 1997   06  18  07:31:54
1925	 1997   07  15  12:31:56
1926	 1997   08  11  17:36:32
1927	 1997   09  07  23:05:28
1928	 1997   10  05  05:19:42
1929	 1997   11  01  12:25:24
1930	 1997   11  28  20:11:49
1931	 1997   12  26  04:20:23
1932	 1998   01  22  12:29:58
1933	 1998   02  18  20:20:48
1934	 1998   03  18  03:42:43
1935	 1998   04  14  10:32:16
1936	 1998   05  11  16:40:38
1937	 1998   06  07  22:07:37
1938	 1998   07  05  03:05:46
1939	 1998   08  01  09:43:46
1940	 1998   08  28  16:20:13
1941	 1998   09  24  22:56:40
1942	 1998   10  22  02:04:07
1943	 1998   11  18  09:41:42
1944	 1998   12  15  17:41:56
1945	 1999   01  12  01:45:29
1946	 1999   02  08  09:37:50
1947	 1999   03  07  17:12:29
1948	 1999   04  04  00:23:34
1949	 1999   05  01  06:55:39
1950	 1999   05  28  12:39:20
1951	 1999   06  24  17:41:24
1952	 1999   07  21  22:25:15
1953	 1999   08  18  03:21:49
1954	 1999   09  14  09:04:03
1955	 1999   10  11  15:45:34
1956	 1999   11  07  23:14:11
1957	 1999   12  05  07:07:04
1958	 2000   01  01  15:04:16
1959	 2000   01  28  22:54:47
1960	 2000   02  25  06:36:08
1961	 2000   03  23  14:05:43
1962	 2000   04  19  21:02:17
1963	 2000   05  17  03:06:27
1964	 2000   06  13  08:17:20
1965	 2000   07  10  12:56:38
1966	 2000   08  06  17:39:12
1967	 2000   09  02  23:04:18
1968	 2000   09  30  05:31:25
1969	 2000   10  27  12:50:06
1970	 2000   11  23  20:35:19
1971	 2000   12  21  04:25:10
1972	 2001   01  17  12:10:51
1973	 2001   02  13  19:54:47
1974	 2001   03  13  03:38:35
1975	 2001   04  09  11:16:28
1976	 2001   05  06  17:19:05
1977	 2001   06  02  22:28:16
1978	 2001   06  30  03:13:27
1979	 2001   07  27  08:08:44
1980	 2001   08  23  13:38:55
1981	 2001   09  19  19:51:33
1982	 2001   10  17  02:39:28
1983	 2001   11  13  09:52:02
1984	 2001   12  10  17:25:04
1985	 2002   01  07  01:19:40
1986	 2002   02  03  09:30:26
1987	 2002   03  02  17:35:58
1988	 2002   03  30  01:04:20
1989	 2002   04  26  07:32:06
1990	 2002   05  23  12:59:29
1991	 2002   06  19  17:49:55
1992	 2002   07  16  22:37:31
1993	 2002   08  13  03:52:07
1994	 2002   09  09  09:48:21
1995	 2002   10  06  16:23:49
1996	 2002   11  02  23:27:42
1997	 2002   11  30  06:52:42
1998	 2002   12  27  14:38:50
1999	 2003   01  23  22:44:51
2000	 2003   02  20  06:55:59
2001	 2003   03  19  14:42:39
2002	 2003   04  15  21:35:35
2003	 2003   05  13  03:24:55
2004	 2003   06  09  08:25:60
2005	 2003   07  06  13:10:36
2006	 2003   08  02  18:11:54
2007	 2003   08  29  23:51:17
2008	 2003   09  26  06:12:29
2009	 2003   10  23  13:06:31
2010	 2003   11  19  20:23:34
2011	 2003   12  17  04:01:12
2012	 2004   01  13  12:00:14
2013	 2004   02  09  20:12:15
2014	 2004   03  08  04:12:29
2015	 2004   04  04  11:29:02
2016	 2004   05  01  17:42:46
2017	 2004   05  28  22:59:33
2018	 2004   06  25  03:46:24
2019	 2004   07  22  08:37:44
2020	 2004   08  18  14:00:46
2021	 2004   09  14  20:06:11
2022	 2004   10  12  02:48:46
2023	 2004   11  08  09:57:33
2024	 2004   12  05  17:26:58
2025	 2005   01  02  01:17:49
2026	 2005   01  29  09:26:49
2027	 2005   02  25  17:35:28
2028	 2005   03  25  01:12:32
2029	 2005   04  21  07:51:38
2030	 2005   05  18  13:28:25
2031	 2005   06  14  18:22:57
2032	 2005   07  11  23:08:37
2033	 2005   08  08  04:16:56
2034	 2005   09  04  10:05:39
2035	 2005   10  01  16:34:58
2036	 2005   10  28  23:34:37
2037	 2005   11  25  06:56:04
2038	 2005   12  22  14:38:22
2039	 2006   01  18  22:41:29
2040	 2006   02  15  06:53:34
2041	 2006   03  14  14:46:53
2042	 2006   04  10  21:50:40
2043	 2006   05  08  03:50:40
2044	 2006   06  04  08:58:10
2045	 2006   07  01  13:43:07
2046	 2006   07  28  18:39:31
2047	 2006   08  25  00:11:28
2048	 2006   09  21  06:25:47
2049	 2006   10  18  13:14:55
2050	 2006   11  14  20:28:21
2051	 2006   12  12  04:02:15



