Step : 1	Numberions : 38
Name		xpos	ypos	sigxp	sigxm	sigyp	sigym	vel	mass	charge		peakhigh
H1+		56.33	20.28	1.50	1.50	2.03	2.03	4088.79	1.00	1.00		0.00
3He1+		97.81	19.06	1.96	1.96	1.91	1.91	2360.66	3.00	1.00		0.00
3He2+		68.96	39.08	1.50	1.50	3.91	3.91	3338.48	3.00	2.00		0.00
He1+		114.34	18.83	2.29	2.29	1.88	1.88	2044.39	4.00	1.00		0.00
He2+		81.98	38.78	1.64	1.64	3.88	3.88	2891.21	4.00	2.00		0.00
C3+		113.51	51.50	2.27	2.27	5.15	5.15	2044.39	12.00	3.00		0.00
C4+		98.66	70.74	1.97	1.97	7.07	7.07	2360.66	12.00	4.00		0.00
C5+		88.61	90.28	1.77	1.77	9.03	9.03	2639.30	12.00	5.00		0.00
C6+		81.26	110.05	1.63	1.63	11.00	11.00	2891.21	12.00	6.00		0.00
O4+		113.25	66.10	2.26	2.26	6.61	6.61	2044.39	16.00	4.00		0.00
O5+		101.70	85.07	2.03	2.03	8.51	8.51	2285.70	16.00	5.00		0.00
O6+		93.25	104.37	1.87	1.87	10.44	10.44	2503.86	16.00	6.00		0.00
O7+		86.73	123.36	1.73	1.73	12.34	12.34	2704.48	16.00	7.00		0.00
N4+		106.28	68.65	2.13	2.13	6.87	6.87	2185.55	14.00	4.00		0.00
N5+		95.46	88.07	1.91	1.91	8.81	8.81	2443.52	14.00	5.00		0.00
N6+		87.53	107.59	1.75	1.75	10.76	10.76	2676.74	14.00	6.00		0.00
Ne7+		96.51	116.42	1.93	1.93	11.64	11.64	2418.96	20.00	7.00		0.00
Mg5+		123.38	75.45	2.47	2.47	7.55	7.55	1866.27	24.00	5.00		0.00
Mg6+		113.12	93.56	2.26	2.26	9.36	9.36	2044.39	24.00	6.00		0.00
Mg7+		105.20	111.64	2.10	2.10	11.16	11.16	2208.20	24.00	7.00		0.00
Si5+		133.14	70.98	2.66	2.66	7.10	7.10	1727.83	28.00	5.00		0.00
Si6+		122.01	88.72	2.44	2.44	8.87	8.87	1892.74	28.00	6.00		0.00
Si7+		113.43	106.50	2.27	2.27	10.65	10.65	2044.39	28.00	7.00		0.00
Si8+		106.57	124.33	2.13	2.13	12.43	12.43	2185.55	28.00	8.00		0.00
S5+		142.07	67.18	2.84	2.84	6.72	6.72	1616.24	32.00	5.00		0.00
S6+		130.14	84.19	2.60	2.60	8.42	8.42	1770.50	32.00	6.00		0.00
S7+		120.96	101.73	2.42	2.42	10.17	10.17	1912.36	32.00	7.00		0.00
S8+		113.62	119.26	2.27	2.27	11.93	11.93	2044.39	32.00	8.00		0.00
Ca6+		145.07	74.67	2.90	2.90	7.47	7.47	1583.58	40.00	6.00		0.00
Ca7+		134.78	90.81	2.70	2.70	9.08	9.08	1710.46	40.00	7.00		0.00
Ca8+		126.57	107.42	2.53	2.53	10.74	10.74	1828.56	40.00	8.00		0.00
Ca9+		119.56	125.11	2.39	2.39	12.51	12.51	1939.48	40.00	9.00		0.00
Fe5+		186.41	46.59	3.73	3.73	4.66	4.66	1221.76	56.00	5.00		0.00
Fe6+		170.62	59.34	3.41	3.41	5.93	5.93	1338.37	56.00	6.00		0.00
Fe7+		158.49	72.70	3.17	3.17	7.27	7.27	1445.60	56.00	7.00		0.00
Fe8+		148.80	86.69	2.98	2.98	8.67	8.67	1545.42	56.00	8.00		0.00
Fe9+		140.75	101.69	2.82	2.82	10.17	10.17	1639.16	56.00	9.00		0.00
Fe10+		133.78	117.63	2.68	2.68	11.76	11.76	1727.83	56.00	10.00		0.00
Step : 2	Numberions : 46
Name		xpos	ypos	sigxp	sigxm	sigyp	sigym	vel	mass	charge		peakhigh
H1+		59.53	18.14	1.50	1.50	1.81	1.81	3805.54	1.00	1.00		0.00
3He1+		103.40	17.00	2.07	2.07	1.70	1.70	2197.13	3.00	1.00		0.00
3He2+		72.87	34.91	1.50	1.50	3.49	3.49	3107.21	3.00	2.00		0.00
He1+		120.67	16.79	2.41	2.41	1.68	1.68	1902.77	4.00	1.00		0.00
He2+		86.33	34.59	1.73	1.73	3.46	3.46	2690.93	4.00	2.00		0.00
C3+		119.80	45.57	2.40	2.40	4.56	4.56	1902.77	12.00	3.00		0.00
C4+		104.05	62.68	2.08	2.08	6.27	6.27	2197.13	12.00	4.00		0.00
C5+		93.40	80.14	1.87	1.87	8.01	8.01	2456.47	12.00	5.00		0.00
C6+		85.60	97.69	1.71	1.71	9.77	9.77	2690.93	12.00	6.00		0.00
O4+		119.45	58.33	2.39	2.39	5.83	5.83	1902.77	16.00	4.00		0.00
O5+		107.21	75.15	2.14	2.14	7.51	7.51	2127.36	16.00	5.00		0.00
O6+		98.24	92.33	1.96	1.96	9.23	9.23	2330.41	16.00	6.00		0.00
O7+		91.32	109.52	1.83	1.83	10.95	10.95	2517.13	16.00	7.00		0.00
O8+		85.78	126.59	1.72	1.72	12.66	12.66	2690.93	16.00	8.00		0.00
N4+		112.10	60.73	2.24	2.24	6.07	6.07	2034.15	14.00	4.00		0.00
N5+		100.62	77.92	2.01	2.01	7.79	7.79	2274.25	14.00	5.00		0.00
N6+		92.21	95.41	1.84	1.84	9.54	9.54	2491.31	14.00	6.00		0.00
N7+		85.71	112.96	1.71	1.71	11.30	11.30	2690.93	14.00	7.00		0.00
Ne7+		101.62	102.78	2.03	2.03	10.28	10.28	2251.39	20.00	7.00		0.00
Ne8+		95.44	119.61	1.91	1.91	11.96	11.96	2406.84	20.00	8.00		0.00
Mg5+		130.06	66.04	2.60	2.60	6.60	6.60	1736.98	24.00	5.00		0.00
Mg6+		119.17	82.38	2.38	2.38	8.24	8.24	1902.77	24.00	6.00		0.00
Mg7+		110.77	98.45	2.22	2.22	9.85	9.85	2055.23	24.00	7.00		0.00
Mg8+		104.03	114.73	2.08	2.08	11.47	11.47	2197.13	24.00	8.00		0.00
Si5+		140.40	62.00	2.81	2.81	6.20	6.20	1608.14	28.00	5.00		0.00
Si6+		128.57	77.59	2.57	2.57	7.76	7.76	1761.62	28.00	6.00		0.00
Si7+		119.46	93.64	2.39	2.39	9.36	9.36	1902.77	28.00	7.00		0.00
Si8+		112.17	109.49	2.24	2.24	10.95	10.95	2034.15	28.00	8.00		0.00
Si9+		106.18	125.50	2.12	2.12	12.55	12.55	2157.54	28.00	9.00		0.00
S5+		149.86	58.58	3.00	3.00	5.86	5.86	1504.27	32.00	5.00		0.00
S6+		137.18	73.51	2.74	2.74	7.35	7.35	1647.85	32.00	6.00		0.00
S7+		127.41	88.92	2.55	2.55	8.89	8.89	1779.88	32.00	7.00		0.00
S8+		119.61	104.73	2.39	2.39	10.47	10.47	1902.77	32.00	8.00		0.00
S9+		113.19	120.39	2.26	2.26	12.04	12.04	2018.19	32.00	9.00		0.00
Ca6+		152.96	64.90	3.06	3.06	6.49	6.49	1473.88	40.00	6.00		0.00
Ca7+		142.01	79.02	2.84	2.84	7.90	7.90	1591.97	40.00	7.00		0.00
Ca8+		133.27	93.58	2.67	2.67	9.36	9.36	1701.89	40.00	8.00		0.00
Ca9+		126.09	108.51	2.52	2.52	10.85	10.85	1805.13	40.00	9.00		0.00
Ca10+		120.07	123.76	2.40	2.40	12.38	12.38	1902.77	40.00	10.00		0.00
Fe5+		196.72	40.39	3.93	3.93	4.04	4.04	1137.12	56.00	5.00		0.00
Fe6+		179.92	51.28	3.60	3.60	5.13	5.13	1245.66	56.00	6.00		0.00
Fe7+		167.01	62.94	3.34	3.34	6.29	6.29	1345.46	56.00	7.00		0.00
Fe8+		156.71	75.00	3.13	3.13	7.50	7.50	1438.36	56.00	8.00		0.00
Fe9+		148.24	87.64	2.96	2.96	8.76	8.76	1525.61	56.00	9.00		0.00
Fe10+		141.14	100.91	2.82	2.82	10.09	10.09	1608.14	56.00	10.00		0.00
Fe11+		134.67	115.41	2.69	2.69	11.54	11.54	1686.63	56.00	11.00		0.00
Step : 3	Numberions : 52
Name		xpos	ypos	sigxp	sigxm	sigyp	sigym	vel	mass	charge		peakhigh
H1+		62.80	16.29	1.50	1.50	1.63	1.63	3541.92	1.00	1.00		0.00
3He1+		109.11	15.23	2.18	2.18	1.52	1.52	2044.93	3.00	1.00		0.00
3He2+		76.86	31.31	1.54	1.54	3.13	3.13	2891.97	3.00	2.00		0.00
He1+		127.14	15.01	2.54	2.54	1.50	1.50	1770.96	4.00	1.00		0.00
He2+		90.78	30.98	1.82	1.82	3.10	3.10	2504.52	4.00	2.00		0.00
C3+		126.24	40.37	2.52	2.52	4.04	4.04	1770.96	12.00	3.00		0.00
C4+		109.57	55.76	2.19	2.19	5.58	5.58	2044.93	12.00	4.00		0.00
C5+		98.30	71.33	1.97	1.97	7.13	7.13	2286.30	12.00	5.00		0.00
C6+		90.04	87.08	1.80	1.80	8.71	8.71	2504.52	12.00	6.00		0.00
