Step : 1	Numberions : 12
Name		xpos	ypos	sigxp	sigxm	sigyp	sigym	vel	mass	charge		peakhigh
H1+		56.33	20.28	1.50	1.50	2.03	2.03	4088.79	1.00	1.00		0.00
3He1+		97.81	19.06	1.96	1.96	1.91	1.91	2360.66	3.00	1.00		0.00
He1+		114.34	18.83	2.29	2.29	1.88	1.88	2044.39	4.00	1.00		0.00
C1+		197.31	14.30	3.95	3.95	1.50	1.50	1180.33	12.00	1.00		0.00
O1+		227.25	12.34	4.54	4.54	1.50	1.50	1022.20	16.00	1.00		0.00
N1+		213.13	13.36	4.26	4.26	1.50	1.50	1092.77	14.00	1.00		0.00
Ne1+		253.23	10.27	5.06	5.06	1.50	1.50	914.28	20.00	1.00		0.00
Mg1+		275.89	9.50	5.52	5.52	1.50	1.50	834.62	24.00	1.00		0.00
Si1+		302.32	8.45	6.05	6.05	1.50	1.50	772.71	28.00	1.00		0.00
S1+		323.84	7.85	6.48	6.48	1.50	1.50	722.80	32.00	1.00		0.00
Ca1+		363.85	6.77	7.28	7.28	1.50	1.50	646.49	40.00	1.00		0.00
Fe1+		435.86	5.45	8.72	8.72	1.50	1.50	546.39	56.00	1.00		0.00
Step : 2	Numberions : 12
Name		xpos	ypos	sigxp	sigxm	sigyp	sigym	vel	mass	charge		peakhigh
H1+		59.53	18.14	1.50	1.50	1.81	1.81	3805.54	1.00	1.00		0.00
3He1+		103.40	17.00	2.07	2.07	1.70	1.70	2197.13	3.00	1.00		0.00
He1+		120.67	16.79	2.41	2.41	1.68	1.68	1902.77	4.00	1.00		0.00
C1+		208.82	12.51	4.18	4.18	1.50	1.50	1098.57	12.00	1.00		0.00
O1+		240.59	10.68	4.81	4.81	1.50	1.50	951.39	16.00	1.00		0.00
N1+		225.69	11.63	4.51	4.51	1.50	1.50	1017.07	14.00	1.00		0.00
Ne1+		268.27	8.84	5.37	5.37	1.50	1.50	850.95	20.00	1.00		0.00
Mg1+		292.33	8.17	5.85	5.85	1.50	1.50	776.80	24.00	1.00		0.00
Si1+		320.86	7.25	6.42	6.42	1.50	1.50	719.18	28.00	1.00		0.00
S1+		344.11	6.71	6.88	6.88	1.50	1.50	672.73	32.00	1.00		0.00
Ca1+		387.23	5.80	7.74	7.74	1.50	1.50	601.71	40.00	1.00		0.00
Fe1+		464.88	4.68	9.30	9.30	1.50	1.50	508.54	56.00	1.00		0.00
Step : 3	Numberions : 12
Name		xpos	ypos	sigxp	sigxm	sigyp	sigym	vel	mass	charge		peakhigh
H1+		62.80	16.29	1.50	1.50	1.63	1.63	3541.92	1.00	1.00		0.00
3He1+		109.11	15.23	2.18	2.18	1.52	1.52	2044.93	3.00	1.00		0.00
He1+		127.14	15.01	2.54	2.54	1.50	1.50	1770.96	4.00	1.00		0.00
C1+		220.61	10.97	4.41	4.41	1.50	1.50	1022.46	12.00	1.00		0.00
O1+		254.27	9.25	5.09	5.09	1.50	1.50	885.48	16.00	1.00		0.00
N1+		238.59	10.16	4.77	4.77	1.50	1.50	946.62	14.00	1.00		0.00
Ne1+		283.75	7.64	5.68	5.68	1.50	1.50	792.00	20.00	1.00		0.00
Mg1+		309.28	7.07	6.19	6.19	1.50	1.50	722.99	24.00	1.00		0.00
Si1+		340.06	6.25	6.80	6.80	1.50	1.50	669.36	28.00	1.00		0.00
S1+		365.28	5.75	7.31	7.31	1.50	1.50	626.13	32.00	1.00		0.00
Ca1+		411.94	4.98	8.24	8.24	1.50	1.50	560.03	40.00	1.00		0.00
Fe1+		495.39	4.03	9.91	9.91	1.50	1.50	473.31	56.00	1.00		0.00
Step : 4	Numberions : 12
Name		xpos	ypos	sigxp	sigxm	sigyp	sigym	vel	mass	charge		peakhigh
H1+		66.11	14.69	1.50	1.50	1.50	1.50	3296.56	1.00	1.00		0.00
3He1+		114.91	13.71	2.30	2.30	1.50	1.50	1903.27	3.00	1.00		0.00
He1+		133.72	13.48	2.67	2.67	1.50	1.50	1648.28	4.00	1.00		0.00
C1+		232.63	9.66	4.65	4.65	1.50	1.50	951.63	12.00	1.00		0.00
O1+		268.25	8.06	5.37	5.37	1.50	1.50	824.14	16.00	1.00		0.00
N1+		251.76	8.91	5.04	5.04	1.50	1.50	881.04	14.00	1.00		0.00
Ne1+		299.60	6.65	5.99	5.99	1.50	1.50	737.13	20.00	1.00		0.00
Mg1+		326.67	6.15	6.53	6.53	1.50	1.50	672.91	24.00	1.00		0.00
Si1+		359.89	5.41	7.20	7.20	1.50	1.50	622.99	28.00	1.00		0.00
S1+		387.34	4.98	7.75	7.75	1.50	1.50	582.75	32.00	1.00		0.00
Ca1+		437.46	4.30	8.75	8.75	1.50	1.50	521.23	40.00	1.00		0.00
Fe1+		527.31	3.49	10.55	10.55	1.50	1.50	440.52	56.00	1.00		0.00
Step : 5	Numberions : 12
Name		xpos	ypos	sigxp	sigxm	sigyp	sigym	vel	mass	charge		peakhigh
H1+		69.46	13.31	1.50	1.50	1.50	1.50	3068.20	1.00	1.00		0.00
3He1+		120.75	12.38	2.42	2.42	1.50	1.50	1771.42	3.00	1.00		0.00
He1+		140.36	12.16	2.81	2.81	1.50	1.50	1534.10	4.00	1.00		0.00
C1+		244.80	8.55	4.90	4.90	1.50	1.50	885.71	12.00	1.00		0.00
O1+		282.44	7.05	5.65	5.65	1.50	1.50	767.05	16.00	1.00		0.00
N1+		265.11	7.85	5.30	5.30	1.50	1.50	820.01	14.00	1.00		0.00
Ne1+		315.70	5.83	6.31	6.31	1.50	1.50	686.07	20.00	1.00		0.00
Mg1+		344.39	5.38	6.89	6.89	1.50	1.50	626.29	24.00	1.00		0.00
Si1+		380.34	4.73	7.61	7.61	1.50	1.50	579.83	28.00	1.00		0.00
S1+		410.25	4.33	8.20	8.20	1.50	1.50	542.39	32.00	1.00		0.00
Ca1+		463.62	3.74	9.27	9.27	1.50	1.50	485.12	40.00	1.00		0.00
Fe1+		560.58	3.04	11.21	11.21	1.50	1.50	410.00	56.00	1.00		0.00
Step : 6	Numberions : 12
Name		xpos	ypos	sigxp	sigxm	sigyp	sigym	vel	mass	charge		peakhigh
H1+		72.80	12.12	1.50	1.50	1.50	1.50	2855.65	1.00	1.00		0.00
3He1+		126.61	11.23	2.53	2.53	1.50	1.50	1648.71	3.00	1.00		0.00
He1+		147.03	11.03	2.94	2.94	1.50	1.50	1427.82	4.00	1.00		0.00
C1+		257.05	7.59	5.14	5.14	1.50	1.50	824.35	12.00	1.00		0.00
O1+		296.76	6.22	5.94	5.94	1.50	1.50	713.91	16.00	1.00		0.00
N1+		278.55	6.96	5.57	5.57	1.50	1.50	763.20	14.00	1.00		0.00
Ne1+		331.95	5.14	6.64	6.64	1.50	1.50	638.54	20.00	1.00		0.00
Mg1+		362.34	4.74	7.25	7.25	1.50	1.50	582.91	24.00	1.00		0.00
Si1+		401.44	4.15	8.03	8.03	1.50	1.50	539.67	28.00	1.00		0.00
S1+		433.58	3.80	8.67	8.67	1.50	1.50	504.81	32.00	1.00		0.00
Ca1+		490.55	3.29	9.81	9.81	1.50	1.50	451.52	40.00	1.00		0.00
Fe1+		595.10	2.66	11.90	11.90	1.50	1.50	381.60	56.00	1.00		0.00
Step : 7	Numberions : 12
Name		xpos	ypos	sigxp	sigxm	sigyp	sigym	vel	mass	charge		peakhigh
H1+		76.13	11.10	1.52	1.52	1.50	1.50	2657.83	1.00	1.00		0.00
3He1+		132.44	10.24	2.65	2.65	1.50	1.50	1534.50	3.00	1.00		0.00
He1+		153.67	10.05	3.07	3.07	1.50	1.50	1328.91	4.00	1.00		0.00
C1+		269.28	6.78	5.39	5.39	1.50	1.50	767.25	12.00	1.00		0.00
O1+		311.12	5.53	6.22	6.22	1.50	1.50	664.46	16.00	1.00		0.00
N1+		292.00	6.20	5.84	5.84	1.50	1.50	710.33	14.00	1.00		0.00
Ne1+		348.22	4.56	6.96	6.96	1.50	1.50	594.31	20.00	1.00		0.00
Mg1+		380.36	4.22	7.61	7.61	1.50	1.50	542.53	24.00	1.00		0.00
Si1+		423.01	3.67	8.46	8.46	1.50	1.50	502.28	28.00	1.00		0.00
S1+		457.01	3.35	9.14	9.14	1.50	1.50	469.84	32.00	1.00		0.00
Ca1+		518.12	2.92	10.36	10.36	1.50	1.50	420.24	40.00	1.00		0.00
Fe1+		630.71	2.34	12.61	12.61	1.50	1.50	355.17	56.00	1.00		0.00
Step : 8	Numberions : 12
Name		xpos	ypos	sigxp	sigxm	sigyp	sigym	vel	mass	charge		peakhigh
H1+		79.41	10.21	1.59	1.59	1.50	1.50	2473.71	1.00	1.00		0.00
3He1+		138.20	9.39	2.76	2.76	1.50	1.50	1428.20	3.00	1.00		0.00
He1+		160.23	9.20	3.20	3.20	1.50	1.50	1236.86	4.00	1.00		0.00
C1+		281.43	6.10	5.63	5.63	1.50	1.50	714.10	12.00	1.00		0.00
