Mass;Q;Ebeam;Paps;FSR;"FSR b";DCR;"DCR b";TCR;"TCR b";MSS;"MSS b";Etot;"TCR/FSR corr";"TCR/DCR corr";"DCR/FSR corr";;FSRoB;DCRoB;TCRoB;;F-TF;F-TD;F-DF;;F-TF-mB;F-TD-mB;F-DF-mB;;"Relative Abweichungen";;;;1%Fehler;;;;"1%Fehler mB";;
16;6;5;12,9;518;18,6;188;0,32;168;0;331;2,3;107,4;0,336403684421306;0,895140664961637;0,375810973167801;;499,4;187,68;168;;0,0300037083315287;0,0950730379213083;0,032176577195007;;0,0302836971945103;0,0951495736847183;0,0325417332960294;;1,00933180858472;1,00080502069865;1,01134850667333;;0,00475746652940889;0,0126592006862042;0,00531476975142536;;0,0117246723218187;0,00978077550871724;0,012572470335852
16;6;5;11,7;601;11,3;215;0,14;190;0;377;2,2;100,2;0,322197727658131;0,884296751372987;0,364354756655927;;589,7;214,86;190;;0,0268778097739288;0,0880634871608489;0,0290342299827241;;0,0270030249057608;0,0880904118493369;0,0291962222997526;;1,00465868063228;1,00030574179329;1,00557935640535;;0,00455656396219922;0,0125058445895415;0,0051527543837796;;0,00851605847029751;0,00916853187481643;0,00917217884768878
16;6;5;10,5;518;6;180;0,042;155;0;316;2,2;93;0,302734375;0,861312083930695;0,35148046875;;512;179,958;155;;0,0277538875657622;0,0943852845844999;0,0304593411325963;;0,0278293656444646;0,094395477544402;0,0305572747713456;;1,00271954977563;1,00010799310451;1,00321522512003;;0,00428131058921542;0,0121807923053062;0,00497068445815503;;0,00669757818802692;0,00873101826929528;0,00734015082329246
16;6;5;9,6;666;3,87;217;0,006;176;0;382;2;87,6;0,265808829081902;0,811082334073753;0,327721142373854;;662,13;216,994;176;;0,0225422430856374;0,0822768593436527;0,02563504196675;;0,0225698933850852;0,0822778781820157;0,0256725311785083;;1,00122659929373;1,00001238304878;1,00146242053385;;0,00375910451086138;0,0114704363704833;0,00463467684221508;;0,00476279234683804;0,00812486073224597;0,00547917522198138
16;6;5;0;624;1,34;58,6;0;0,14;0;2,5;2,15;30;0,000224841807728134;0,00238907849829352;0,0941123566633476;;622,66;58,6;0,14;;0,000600982559283972;0,00639270354442494;0,0128596397412856;;0,000600982850017438;0,00639270354442494;0,0128620200164632;;1,00000048376357;1;1,00018509656767;;3,17974333877611e-06;3,37866721386064e-05;0,001330949711802;;6,95974260198811e-05;2,38907849829352e-05;0,00170730247073923
16;6;7;0;816;1,3;160;0;6,4;0;14,8;2,2;42;0,00785565238738186;0,04;0,196391309684546;;814,7;160;6,4;;0,00311739215811102;0,0161245154965971;0,0169823935066838;;0,00311743093011921;0,0161245154965971;0,016986841218962;;1,00001243732139;1;1,00026190137901;;0,00011109570147524;0,000565685424949238;0,002777392536881;;0,000362687005042251;0,0004;0,002646327465249
16;6;7;9,6;1320;2,34;519;0;438;0;905;2,2;99,6;0,332407449569692;0,84393063583815;0,393880060106553;;1317,66;519;438;;0,0183337885858132;0,0547572951816951;0,0204123506090467;;0,0183419094497941;0,0547572951816951;0,0204225914394961;;1,00044294521795;1;1,00050169775375;;0,00470095123415309;0,0119349815090446;0,00557030522951016;;0,00412212241993914;0,0084393063583815;0,00475017059191048
16;6;7;10,5;2700;3,25;1140;0,014;936;0;1980;2;105;0,347084453508853;0,821062714805269;0,422725873736906;;2696,75;1139,986;936;;0,0131672368904683;0,036216031378742;0,0149337778412952;;0,0131713248844523;0,0362162319088564;0,0149392532344223;;1,00031046710999;1,00000553705381;1,00036664487615;;0,00490851541441074;0,0116115802683648;0,00597824663804748;;0,00403221019992931;0,00821686603813189;0,00479732407565655
16;6;7;12,9;955;22,7;419;0,5;383;0;728;2,7;119,4;0,410811970395795;0,915173237753883;0,448889842325432;;932,3;418,5;383;;0,024933214352836;0,0647154472345218;0,0264125134256478;;0,0251093677218911;0,064752383571781;0,026632619429986;;1,00706500840856;1,00057074993433;1,00833339867324;;0,00580975860118948;0,0129425040475244;0,00634826103028146;;0,0108505563945503;0,00974106893378962;0,0118549579743715
16;6;7;14,4;1223;39,3;548;0,775;497;0;647;2,92;128,4;0,419869899467771;0,908218740006396;0,462300413956239;;1183,7;547,225;497;;0,0224419620167062;0,0562764045216925;0,0238978933591176;;0,0226612230826258;0,056314325376741;0,0241703264066656;;1,00977013800114;1,0006738322281;1,01139987711277;;0,00593785706259549;0,0128441525971845;0,00653791515307609;;0,0125785544533827;0,00977662815721149;0,0142144023440585
16;6;7;15,15;1132;56,2;511;1,41;465;0;884;2,39;132,9;0,43223647518126;0,912498282933339;0,473684699758319;;1075,8;509,59;465;;0,0239884563096597;0,0585202410587223;0,0254730645325443;;0,0243637144146828;0,0585974466825876;0,0259442646222879;;1,01564327859113;1,00131929777575;1,0184979741696;;0,0061127468535368;0,0129046744736649;0,00669891326686843;;0,0156999039358692;0,01043910527778;0,0190265160856417
16;6;7;15,9;1151;76,8;520;2,54;472;0;885;2,94;137,4;0,439396760379818;0,91214779886368;0,481716626326569;;1074,2;517,46;472;;0,02426476623585;0,0580570472516857;0,0257772047455962;;0,0247886863124249;0,0581928310852256;0,0264528967904637;;1,02159180399607;1,00233880019684;1,02621277409774;;0,00621400857791939;0,0128997178804178;0,00681250186171646;;0,0183388480395712;0,0113487348207166;0,0259501835556881
16;6;15;0;381;1,22;135;0;110;0;249;3,52;90;0,289641371320238;0,814814814814815;0,355468955711201;;379,78;135;110;;0,0313616375112943;0,104659518413247;0,0356188244261146;;0,0313842558929872;0,104659518413247;0,0356488185794159;;1,00072121175703;1;1,00084208712063;;0,00409614755545422;0,0115232216193363;0,00502709018169382;;0,00421278968782647;0,00814814814814815;0,00491285720142167
16;6;15;9,6;562;2,38;277;0,019;255;0;508;4,04;147,6;0,455666345019835;0,920640765973117;0,494944783960545;;559,62;276,981;255;;0,0344276820672886;0,0798993382975187;0,0363617133152755;;0,0344734844246032;0,0799019654405847;0,0364145422119367;;1,00133039329296;1,00003288066112;1,00145287149159;;0,00644409525044029;0,0130198265731274;0,00699957626102824;;0,00634973494777492;0,00924127157921454;0,00676557235755103
16;6;15;10,5;546;4,21;277;0,032;257;0;500;3,69;153;0,474353531811218;0,927905028739782;0,511209140072722;;541,79;276,968;257;;0,0359282773026682;0,0803673752525477;0,0377612270669275;;0,0360179883943427;0,0803718442075903;0,0378632355603268;;1,00249694943397;1,00005560658201;1,00270140833132;;0,00670837198047002;0,01312255876238;0,00722958899099931;;0,0077273540783318;0,00933770544087723;0,00814361314935825
16;6;15;11,7;1422;9,47;747;0,136;677;0;1335;3,46;160,2;0,479281855960581;0,9064568649714;0,528742044416756;;1412,53;746,864;677;;0,0224038222951874;0,0481023506446063;0,0239215979971334;;0,0224524343034653;0,0481065151654629;0,0239798457099312;;1,00216980868878;1,00008657624421;1,00243494238156;;0,00677806900898802;0,0128192359214875;0,00747754170211053;;0,00744396137166511;0,00915679757714263;0,00805082897780302
16;6;15;12,9;1731;23,3;925;0,429;834;0;1645;3,95;167,4;0,488376178485682;0,902039973133486;0,541413011653101;;1707,7;924,571;834;;0,0206313573847011;0,0430777069928086;0,0221064021153951;;0,0207235179200026;0,0430871852386903;0,0222187142763047;;1,00446701269253;1,00022002670391;1,00508052646122;;0,00690668215154396;0,0127567716380804;0,00765673623925078;;0,00954677288308597;0,00925357196295776;0,0107139406519218
16;6;15;14,4;1646;37,8;891;0,974;805;0;1594;2,67;176,4;0,500559631886581;0,904467959362985;0,553429921651536;;1608,2;890,026;805;;0,0216114801257422;0,0439928483620911;0,0231210270683239;;0,0217802699103847;0,0440157067210054;0,0233299819219688;;1,00781019086432;1,00051959261029;1,00903743821706;;0,00707898220190487;0,0127911085486305;0,00782668101022681;;0,0119959131089266;0,00958558406225501;0,0148460972721883
16;6;15;15,3;1051;52,5;557;1,18;508;0;968;3,08;181,8;0,508763144717076;0,913964952682523;0,556654982473711;;998,5;555,82;508;;0,0277264533697366;0,056100234516989;0,0294588099592098;;0,028213757784;0,0561570789715169;0,03004699999056;;1,01757543266588;1,00101326589839;1,01996652384006;;0,00719499739294474;0,0129254163161731;0,00787229025776879;;0,0172098622027963;0,0101632489750443;0,0203389138953262
16;6;15;16,05;1115;72,9;582;2,3;532;0;1027;3,57;186,3;0,510507628826408;0,91771606003105;0,556280587275693;;1042,1;579,7;532;;0,027202441296871;0,0550991207264692;0,0288228024011363;;0,0278381528318863;0,0552036364247554;0,0296063425189298;;1,02336965010153;1,00189686689929;1,02718473057854;;0,00721966812381237;0,0129784649850351;0,00786699551010156;;0,0196713176698672;0,0110136698657509;0,0274694451213425
16;7;15;9,6;1084;3,2;485;0;378;0;740;3,92;172,2;0,349740932642487;0,779381443298969;0,448741672834937;;1080,8;485;378;;0,0208990128602892;0,0534735097237963;0,0245256772983096;;0,020915040145454;0,0534735097237963;0,0245481591509029;;1,00076689197102;1;1,000916665922;;0,0049460837026002;0,0110221180737532;0,00634616559725158;;0,00476019271142799;0,00779381443298969;0,0057915917372178
16;7;15;10,5;1514;5,2;720;0,05;575;0;1130;3,6;178,5;0,38109756097561;0,798666574067644;0,477167285259809;;1508,8;719,95;575;;0,0186773142566087;0,0446690707825464;0,0216139594834751;;0,0186950680656382;0,044670448254405;0,0216390239798733;;1,00095055470961;1,00003083726244;1,00115964390594;;0,00538953339319015;0,0112948510086052;0,00674816446335174;;0,00526859983340149;0,00802186748469831;0,00628372944746179
16;7;15;11,7;1376;10,2;669;0,12;544;0;1050;4,1;186,9;0,398301361839215;0,813299844516206;0,489734953873188;;1365,8;668,88;544;;0,0201935526835316;0,0469554548213623;0,0231122113746735;;0,0202364643725401;0,0469592330016707;0,0231716605163327;;1,00212501929111;1,00008046307554;1,0025721961735;;0,00563283187824692;0,0115017967039075;0,00692589813735624;;0,00677111386655258;0,00822365460146526;0,00784912316631885
16;7;15;12,9;1134;24;579;0,4;500;0;939;3,9;195,3;0,45045045045045;0,864154856550294;0,521261261261261;;1110;578,6;500;;0,0242612667012105;0,0527651972733328;0,0267281031664524;;0,0244236326871537;0,0527821043741947;0,0269374492145293;;1,00669239524642;1,00032042144701;1,00783243190784;;0,00637033136204097;0,01222099518124;0,00737174745215381;;0,0108890848193949;0,00898630943900813;0,0122380961929131
16;7;15;14,4;1373;39;720;0,85;624;0;1161;3,75;205,8;0,467766116941529;0,867691024125704;0,539092953523238;;1334;719,15;624;;0,0226863639059112;0,0474706661177082;0,0249394193442354;;0,022896759375851;0,0474967255920659;0,0252124611243257;;1,00927409393645;1,00054895952572;1,01094820117187;;0,0066152118659731;0,0122710041426797;0,00762392566252332;;0,0126464144499872;0,00925864643297266;0,0151817728432458
16;7;15;15,3;1256;57,6;663;1,46;582;0;1061;4,01;212,1;0,485647530040053;0,879765395894428;0,552019359145527;;1198,4;661,54;582;;0,0245367808819694;0,0499985268656783;0,0267377477152555;;0,0249193160851751;0,0500501439016246;0,0272283586920118;;1,01559027669709;1,00103237113535;1,01834900164296;;0,00686809323515639;0,0124417615458044;0,00780673264396109;;0,0161036982952856;0,00985681988474753;0,0207190692535393
16;7;15;16,05;1496;76,6;794;2,22;697;0;1288;3,6;217,35;0,491052557418628;0,88029503144813;0,557827250951106;;1419,4;791,78;697;;0,0227121403962607;0,0457219622558977;0,0247432709664561;;0,0231122768941979;0,0457819400930459;0,0252605445266929;;1,01761773619553;1,00131179490531;1,02090562565225;;0,00694453186539416;0,0124492517236359;0,00788886863756354;;0,0170818561167963;0,010129604195524;0,0253780137320692
16;7;15;0;1264;1,2;458;0;349;0;742;3,5;105;0,276369971491923;0,762008733624454;0,362686094393411;;1262,8;458;349;;0,0167134624266285;0,054144115546846;0,0197831788775924;;0,0167169010349069;0,054144115546846;0,0197881817902514;;1,0002057388344;1;1,00025288719725;;0,00390846161916543;0,0107764308573845;0,00512915593575291;;0,00320605961094228;0,00762008733624454;0,00407745343325149
16;7;10;16,05;962;39,2;502;1,2;432;0;811;5,6;182,35;0,46814044213264;0,862619808306709;0,542696142175986;;922,8;500,8;432;;0,0272909144870213;0,056642141136574;0,0301206799158317;;0,0276581065233341;0,0567049630305387;0,0306135429612931;;1,01345473551234;1,00110910168126;1,01636294555231;;0,00662050562359316;0,0121992863207903;0,00767488244512837;;0,0149224767754879;0,00976924398123292;0,018648588664901
16;7;10;15,15;886;34,5;459;0,92;400;0,01;746;3,68;176,05;0,469747504403993;0,873188089416696;0,537968291250734;;851,5;458,08;399,99;;0,0284748392051677;0,0597549558803397;0,0311716437239189;;0,0288416979746973;0,0598116696304465;0,0316504498034781;;1,01288361162942;1,00094910537999;1,0153603089975;;0,00664323291619042;0,0123487443855574;0,00760802053613467;;0,0146363030956487;0,00970074853928189;0,0172768389360043
