Mass;Charge;Ebeam;Paps;FSR;"FSR bkgnd";DCR;"DCR bkgnd";TCR;"TCR bkgnd";MSS;"MSS bkgnd";Etot;"TCR/FSR corr";"TCR/DCR corr";"DCR/FSR corr";;FSRoB;DCRoB;TCRoB;;F-TF;F-TD;F-DF;;F-TF-mB;F-TD-mB;F-DF-mB;;"Relative Abweichungen";;;;1%Fehler;;;;"1%Fehler mB";;
32;3;18,5;12,15;1080;12;198,2;0,16;51,8;0;110,4;0,83;91,95;0,048501872659176;0,261563320541305;0,185430711610487;;1068;198,04;51,8;;0,00690046301373713;0,0408193879895416;0,0143464118241251;;0,0069040486373796;0,0408262249799911;0,0143813618841012;;1,00051962073202;1,00016749370302;1,0024361534023;;0,000685920061150996;0,00369906395328854;0,00262238627240045;;0,00238541565360567;0,00299429664682429;0,00495251476636759
32;3;18,5;14,4;1128;19,1;261;0,26;104;0;206,6;1;98,7;0,0937866354044549;0,398864769502186;0,235133916493823;;1108,9;260,74;104;;0,00961812888606479;0,0462590675878373;0,016183351642774;;0,00963232336879228;0,0462722183456492;0,0162493477053148;;1,00147580500279;1,00028428497368;1,0040780219078;;0,00132634331758321;0,0056407996658281;0,00332529573679467;;0,00413088661086143;0,00446300147659475;0,00685346593386269
32;3;18,5;15,3;1363;26,4;330;0,6;149;0;294,9;1,2;101,4;0,111476881639982;0,452337583485124;0,246446206793356;;1336,6;329,4;149;;0,00962812886622987;0,0446584172886211;0,015159927025812;;0,00964718343869777;0,0446837454078758;0,0152410674434148;;1,00197905249635;1,00056715219196;1,00535229605424;;0,00157652117906323;0,00639701945335735;0,00348527568042569;;0,00482812206209098;0,00536421811434525;0,0077059636944021
32;3;18,5;17,1;2434;41,1;649,1;1,06;331,4;0;655,5;1,2;106,8;0,138493041915667;0,51138818591445;0,270817836098458;;2392,9;648,04;331,4;;0,00811739898189284;0,0345352377589922;0,0119927286613388;;0,0081343415307807;0,0345543460144802;0,0120519151884837;;1,00208718937256;1,00055329734868;1,00493520105526;;0,00195858738171442;0,00723212108157589;0,00382994256742973;;0,0050765923439941;0,00588236303732489;0,00840469759061073
32;3;18,5;19,2;2477;56,99;683;2,54;392,9;0;764,3;1,44;113,1;0,162354701013632;0,577403521147459;0,28118065627828;;2420,01;680,46;392,9;;0,00883066057423531;0,0365855692299501;0,0122008286051964;;0,00885965993111265;0,0366355244820406;0,0122990397373539;;1,00328393970457;1,00136543596675;1,00804954608703;;0,00229604220088507;0,00816571890568717;0,00397649497585711;;0,00640275084243172;0,00742576487855881;0,0133146031303972
32;3;18,5;24;2066;202,1;591,5;13,14;387,5;0;721,3;1,29;127,5;0,207897419389452;0,669997925167716;0,310295616717635;;1863,9;578,36;387,5;;0,0116072214909041;0,0439840858481736;0,0147693424463645;;0,0118218533316415;0,0443831882304422;0,0153915610122856;;1,01849123331588;1,00907379054429;1,04212906350982;;0,00294011350082931;0,00947520152534017;0,00438824269507003;;0,0151898130141407;0,0141128391277557;0,0618540352044527
32;3;18,5;24;2069;202,1;595,2;13,14;392,6;0;727,6;1,29;127,5;0,210295141678719;0,674500910559049;0,311778884782259;;1866,9;582,06;392,6;;0,0116761519170996;0,0440504233593471;0,0148010709261707;;0,0118937499189942;0,0444491851906358;0,0154235247983407;;1,01863610575124;1,00905239498008;1,0420546509962;;0,00297402241463216;0,00953888335545609;0,0044092192732063;;0,0152671315758989;0,0141365118460128;0,0621243251512206
32;3;18,5;22,05;1800;152,7;504,3;8,44;318,9;0;596,4;1,7;121,65;0,193589510107449;0,643125075626185;0,301013780125053;;1647,3;495,86;318,9;;0,0118435543635266;0,046164006688139;0,0154187010432974;;0,0120202991867414;0,0464705361437944;0,0159422216081721;;1,01492329226428;1,00664000977485;1,03395361019094;;0,00273776910727117;0,00909516204252773;0,00425697770314043;;0,0135619553833031;0,0123388356253254;0,040311948555512
32;3;18,5;9,6;1342;9,9;278,2;0,1;53,6;0;117,2;1,8;84,3;0,0402372194279709;0,192736425746135;0,208768110502215;;1332,1;278,1;53,6;;0,00560546649280468;0,0287510458547185;0,013763698896024;;0,00560707766993918;0,0287527164042607;0,0137854427990673;;1,00028742962545;1,00005810395735;1,00157980083752;;0,000569040214272186;0,00272570467253498;0,00295242693263237;;0,00177614708288336;0,00210010765628491;0,00447504752530146
32;3;18,5;9,6;1161;9,9;239,6;0,1;46,93;0;101,7;1,8;84,3;0,0407696985492138;0,195949895615866;0,208061853878898;;1151,1;239,5;46,93;;0,0060714097389656;0,0312806847903123;0,0147769325348304;;0,00607345487125371;0,0312828246629768;0,0148039033841064;;1,00033684636288;1,0000684087538;1,00182519945952;;0,000576570606221608;0,00277114999925551;0,00294243895568027;;0,00191715245736791;0,00215893622155311;0,00473124755080943
32;3;18,5;0;964,7;4,9;132,4;0;1,7;0;6,36;2,3;55,5;0,00177120233381955;0,0128398791540785;0,137945405292769;;959,8;132,4;1,7;;0,00135965269102954;0,0099107580058504;0,0127886281652973;;0,00135966496375428;0,0099107580058504;0,0127965402473681;;1,00000902636741;1;1,00061868106325;;2,50485836219448e-05;0,000181583312389295;0,00195084263032088;;0,000301232276783583;0,000128398791540785;0,00299412809794993
32;3;5,1;24;6358;175,6;1335;12,3;263,2;0;602,7;1,7;87,3;0,0425724637681159;0,198986920692523;0,213946040372671;;6182,4;1322,7;263,2;;0,00267940872470662;0,0134303957997083;0,00648146630787351;;0,00268251455184264;0,0134511071262829;0,00656304753208238;;1,00115914645921;1,00154212332112;1,01258684691607;;0,000602065556445068;0,00281410001978225;0,00302565391911053;;0,00350480088850813;0,00474738634789009;0,038425038455082
32;3;5,1;19,8;9591;79,6;1706;3,99;125,6;0;316,6;2,02;74,7;0,0132052063839182;0,0737951010863626;0,178944214311248;;9511,4;1702,01;125,6;;0,00118603930006943;0,0068232835833939;0,00470959145928687;;0,00118616865762459;0,0068243827799107;0,004724913794182;;1,00010906683712;1,0001610949484;1,0032534318587;;0,00018674981962073;0,00104362032793027;0,00253065334787164;;0,00105965181734892;0,00150900528475413;0,0109847979904386
32;3;5,1;22,05;3507;109,7;657,5;6,5;87,4;0;198,8;2,32;81,45;0,0257263120713508;0,134254992319508;0,191622759249993;;3397,3;651;87,4;;0,00278700382859564;0,0152943166498305;0,00819834121796695;;0,0027892600440794;0,0153123811432799;0,00830886072771522;;1,00080954875648;1,00118112458784;1,01348071601436;;0,000363824994411469;0,00189865230954545;0,00270995504990694;;0,00289441588267961;0,00390429119862522;0,0195523256738723
32;3;5,1;17,1;3710;44,3;548,5;1,5;20,22;0;54,5;1,16;66,6;0,00551599967264097;0,0369652650822669;0,149221158305371;;3665,7;547;20,22;;0,00123006524773645;0,00837115443156607;0,0068397235752757;;0,00123014679244911;0,00837197270354042;0,00686672376430956;;1,00006629299771;1,00009774899998;1,00394755559003;;7,80080154709441e-05;0,000522767792160585;0,00211030585868479;;0,000818367523524972;0,00107287755148034;0,00551265660485726
32;3;5,1;15,15;4872;17,01;648,3;0,6;12,43;0;36,15;4,6;60,75;0,00256025244130266;0,0191909834800062;0,133409131635699;;4854,99;647,7;12,43;;0,00072711393163681;0,00549527529136835;0,00558074221992909;;0,000727120437258476;0,00549537114414061;0,00558760071998771;;1,00000894718335;1,00001744276077;1,00122895840523;;3,62074372558905e-05;0,000271401491127028;0,00188669003303622;;0,000300601722836165;0,00046332952195231;0,0027839292298208
32;3;5,1;12,15;5785;6,17;653,8;0,1;3,3;0;13,62;5,25;51,75;0,000571049849190926;0,00504818724185406;0,113119783762457;;5778,83;653,7;3,3;;0,000314442338711257;0,00278594107999665;0,00466788636033071;;0,000314442530318631;0,00278594322062783;0,00466903420383393;;1,00000060935615;1,00000076836915;1,00024590219526;;8,07586441516918e-06;7,13921486282884e-05;0,00159975532369579;;7,82925448867591e-05;0,000101349308599446;0,00158609938953003
32;3;5,1;9,6;3145;2,2;256,2;0;0,043;0;5,91;5,23;44,1;1,36820669466718e-05;0,00016783762685402;0,0815196639938908;;3142,8;256,2;0,043;;6,59812371500952e-05;0,000809452828176038;0,00529651282577946;;6,59812377820298e-05;0,000809452828176038;0,00529679228115528;;1,00000000957749;1;1,00005276214464;;1,93493646372798e-07;2,3735824817347e-06;0,00115286214420258;;9,78748977651755e-06;1,6783762685402e-06;0,00111181126612622
32;3;5,1;0;3000;1,7;69,8;0;0;0;5,9;5,9;15,3;0;0;0,0232798585865324;;2998,3;69,8;0;;0;0;0,00281870638662615;;0;0;0,00281874274519558;;1;1;1,00001289902687;;0;0;0,000329226917432018;;0;0;0,000431567665944186
32;7;10;24;550,2;251,5;151,2;15,4;118,2;0,01;190,6;4,8;238;0,395681285570807;0,870324005891016;0,454636759290258;;298,7;135,8;118,19;;0,0429980015777227;0,109483587687425;0,0470535008870275;;0,0522656901830752;0,115120833201665;0,0610287610002162;;1,215537659084;1,0514894116398;1,29700787082225;;0,00559577840431457;0,0123082401278996;0,00642953470941635;;0,0581780755430728;0,0328767486311005;0,126695218852086
32;7;10;19,8;1289;139,1;471,8;5,9;386,5;0;639,7;4,9;208,6;0,336116184016001;0,829577162481219;0,405165666579703;;1149,9;465,9;386,5;;0,0197622681302052;0,0570765092232509;0,0222510262542342;;0,0203547662891121;0,0574033086095887;0,0232071243247694;;1,0299812832719;1,00572563723299;1,04296871791939;;0,0047534006596852;0,0117319927421593;0,00572990780684951;;0,0205130629904711;0,0132524990485786;0,0410213405233114
32;7;10;16,05;1127;43,5;410,9;0,93;328,1;0;584,5;4,6;182,35;0,302814951545916;0,800302461155694;0,378375634517766;;1083,5;409,97;328,1;;0,0190816342220207;0,059282126652955;0,0219397117326831;;0,0192588727764608;0,0593418775615288;0,0222158756039457;;1,00928843684864;1,00100790764345;1,01258739743837;;0,00428245011365586;0,0113179859456695;0,00535103954006551;;0,0114670789244293;0,0090826122551665;0,0138663682338269
