Mass;Q;Ebeam;Paps;FSR;"FSR b";DCR;"DCR b";TCR;"TCR b";MSS;"MSS b";Etot;"TCR/FSR corr";"TCR/DCR corr";"DCR/FSR corr";;FSRoB;DCRoB;TCRoB;;F-TF;F-TD;F-DF;;F-TF-mB;F-TD-mB;F-DF-mB;;"Relative Abweichungen";;;;1%Fehler;;;;"1%Fehler mB";;;;
20;3;18;24;2501;178.6;548.3;11;400.8;0;1137;1.1;126;0.172580089562522;0.745951982132887;0.231355494316225;;2322.4;537.3;400.8;;0.00933465112954251;0.0492337780581725;0.0110754944483902;;0.00943971502545969;0.0496625541477056;0.011414480844143;;1.01125525683383;1.00870898205347;1.03060688597989;;0.00244065103254881;0.0105493541001142;0.00327186077791536;;0.00192373611236186;0.0164200050840178;0.395509510161401;0.01;490
20;3;18;23.25;2041;147.8;440.5;8.283;321.1;0;882.7;1.125;123.75;0.169607014578491;0.742913860398828;0.228299704204521;;1893.2;432.217;321.1;;0.0102363149348971;0.0547338843224341;0.012170448981416;;0.0103515508168464;0.0551791729480148;0.0125315730767047;;1.01125755534899;1.00813552027401;1.02967220813629;;0.00239860540290514;0.0105063885705097;0.003228645379718;;0.00189352854431989;0.0164503945045592;0.305369122046854;0.01;491
20;3;18;22.05;1780;109.9;396.6;5.7;282.7;0.005;798.9;1.3;120.15;0.169268307286989;0.723190074187772;0.234057840847853;;1670.1;390.9;282.695;;0.0108861340236319;0.0564624846324169;0.0131509799931443;;0.010989510623626;0.0568075419320496;0.013466717816301;;1.0094961718981;1.00611126665571;1.02400869162005;;0.00239381535845196;0.0102274521108995;0.00331007772906798;;0.00538117393891174;0.0266570501393724;0.240924542823951;0.01;492
20;3;18;21;1739;87.91;429;3.885;304.5;0.006;900;1.14;117;0.184419989219243;0.716262658339508;0.257475364759038;;1651.09;425.115;304.494;;0.0115019503022023;0.0537743063800378;0.0140033585949775;;0.0115971025927845;0.0539796234572706;0.0142555213877762;;1.00827270924341;1.00381812599835;1.0180073081103;;0.00260809249926554;0.0101294836564514;0.00364125152819191;;0.00628112321572449;0.0273683964090305;0.214548715722584;0.01;493
20;3;18;18.75;1876;46.98;457.2;1.718;311.1;0;992.8;1.285;110.25;0.170091087030213;0.683012720590495;0.249030628423965;;1829.02;455.482;311.1;;0.0104313708802022;0.0502368599273517;0.0130407839266549;;0.0104702475715781;0.0503136993001452;0.0131465207279567;;1.00372690146121;1.00152954171309;1.00810816296754;;0.0024054512211691;0.00965925852732424;0.00352182492163466;;0.00176630989929918;0.0139136647990965;0.14220079619731;0.01;494
20;3;18;16.05;958.1;24.88;218.9;0.665;143.4;0;493.3;1.302;102.15;0.153661516041234;0.657089834352876;0.23385161055271;;933.22;218.235;143.4;;0.0137825552091548;0.0706355285554015;0.0175836742669836;;0.0138314107402462;0.0707208261913459;0.0177154550383711;;1.00354473683217;1.00120757411587;1.00749449571157;;0.00217310200000323;0.00929265355439328;0.00330716119226434;;0.00159793399768708;0.0138097978578286;0.0593473799530354;0.01;495
20;3;18;15.3;1069;17.84;241.6;0.399;152.9;0;541.9;1.634;99.9;0.145458350774383;0.633911136355156;0.229461737509038;;1051.16;241.201;152.9;;0.0125899663062652;0.0655298019056328;0.0163824267392111;;0.0126170708879711;0.0655718448670458;0.0164561948533291;;1.00215287166355;1.00064158535796;1.00450288075707;;0.00205709172425555;0.00896485726372802;0.00324507901230976;;0.00149156262499142;0.0133673375724458;0.047565683438123;0.01;496
20;3;18;14.4;1998;13.53;448.3;0.295;267.8;0;943;1.928;97.2;0.134947870212198;0.597761185701053;0.225755491390648;;1984.47;448.005;267.8;;0.00878514037923512;0.0461719650943036;0.0118086110029224;;0.00879225933275304;0.046183338220916;0.0118297637687621;;1.00081034032589;1.00024632104328;1.00179130008047;;0.00190845108267454;0.00845361975878651;0.00319266477704857;;0.00136327194017269;0.0126319328091382;0.0549099078268296;0.01;497
20;3;18;11.1;2174;4.605;441.3;0.032;204.8;0;789;2.286;87.3;0.0944042002493783;0.464117044517164;0.203406018728724;;2169.395;441.268;204.8;;0.00690105068127223;0.0392419373518583;0.0106223026684892;;0.00690231419518137;0.0392428394311516;0.0106267530414342;;1.00018309007823;1.000022987634;1.0004189649913;;0.00133507700337656;0.00656360618884691;0.00287659550354477;;0.000947047365869982;0.0103023799546715;0.0170896784543964;0.01;498
20;3;18;9.3;2574;2.095;495.4;0.019;185;0;779.6;2.362;81.9;0.0719311172068953;0.373449930457567;0.192612479854427;;2571.905;495.381;185;;0.00547538145381877;0.03217754709053;0.0094507097387081;;0.0054756807364707;0.0321778826615721;0.00945225685374575;;1.00005465968982;1.00001042873284;1.0001637035821;;0.0010172596151064;0.0052813795652038;0.00272395181292445;;0.000720190007836601;0.00851301968960693;0.0136080509073963;0.01;499
20;3;18;19.95;3149;60.18;801.1;2.547;561;0;1725;2.835;113.85;0.181622755615413;0.702520684287705;0.258530118297602;;3088.82;798.553;561;;0.00833543468811443;0.0387011511860758;0.0102633958303939;;0.00836035941559937;0.0387520526524662;0.0103302656771908;;1.00299021327832;1.00131524424547;1.00651537248509;;0.00256853364226891;0.009935142795673;0.0036561679957839;;0.00186922262351443;0.013995047097604;0.232655130879962;0.01;500
20;3;18;24.3;1964;302;477.2;18.45;353;0.016;981.3;3.33;126.9;0.212385078219013;0.769447411444142;0.276022864019254;;1662;458.75;352.984;;0.0124470599679859;0.0544778880308253;0.01455748151429;;0.0128376088733873;0.0554238273915847;0.0155543752411986;;1.03137679953386;1.01736373040424;1.06847982090377;;0.00300357858062999;0.0108816296479718;0.00390355277821093;;0.012207881695033;0.0462013508438482;0.557037292011664;0.01;501
20;3;18;22.5;2156;168.4;537;8.684;393.7;0;1139;3.684;121.5;0.198078084121554;0.745197949711915;0.265805997182532;;1987.6;528.316;393.7;;0.0109268827079286;0.0496148052507014;0.0130107241190256;;0.0110788851039525;0.0499618201978893;0.013405174928996;;1.01391086553108;1.00699418138264;1.03031736023006;;0.0028012471297358;0.0105386904713521;0.00375906446175641;;0.00223093671222863;0.0152993463414009;0.372672257265003;0.01;502
20;3;18;0;2282;1.16;293.2;0;6.049;0;49.42;3.976;54;0.00265209308851125;0.020630968622101;0.128549131021904;;2280.84;293.2;6.049;;0.00107974724316715;0.00847446318195611;0.00797530677716921;;0.0010797486956917;0.00847446318195611;0.00797576878215412;;1.00000134524497;1;1.00005792943116;;3.75062601444856e-05;0.000291765956302689;0.00181795924522453;;2.65411622320949e-05;0.000575566429845753;0.00128647194022983;0.01;503
