Energy per Nucleon	Log of Energy per Nucleon	Protons	Helium	Carbon	Nitrogen	Oxygen	Neon	Argon	Iron	Iron Fit	Krypton	Xenon
0.40	-0.40	35.50	32.80	18.20	17.30	17.20	17.10	15.20	14.50	11.72	14.00	13.90
0.70	-0.15	45.50	43.40	26.20	24.80	23.20	22.50	20.50	18.80	15.89	17.40	17.40
1.00	0.00	51.90	50.00	31.60	29.90	27.10	25.80	23.90	22.40	19.13	21.20	20.30
1.50	0.18	58.40	57.20	38.30	36.40	32.90	30.20	28.20	26.20	23.40	25.20	23.40
2.50	0.40	65.70	65.50	47.30	45.70	41.50	37.10	35.00	31.00	29.66	29.80	27.10
4.00	0.60	71.80	72.30	56.20	54.60	50.40	45.10	42.10	35.60	36.19	34.20	30.90
6.00	0.78	77.00	77.50	64.10	62.20	59.10	52.70	48.80	40.30	42.28	38.60	34.40
8.00	0.90	80.50	80.70	69.10	67.20	64.60	58.10	53.40	43.70	46.76	42.20	36.90
10.00	1.00	82.90	83.10	72.50	70.70	68.40	62.20	57.00	46.60	50.27	45.10	39.00
15.00	1.18	86.40	87.00	78.20	76.60	74.50	69.50	63.30	52.80	56.63	50.40	43.60
25.00	1.40	90.20	90.90	84.20	82.80	80.80	77.60	71.20	62.00	64.31	58.20	50.00
40.00	1.60	92.80	93.40	88.30	87.40	85.80	82.70	77.20	70.90	70.79	66.00	57.70
60.00	1.78	94.60	95.20	91.30	90.70	88.70	86.40	81.90	77.50	75.79	72.40	64.10
80.00	1.90	95.60	96.00	93.10	92.60	90.40	88.60	84.60	81.20	78.96	76.50	68.20
100.00	2.00	96.40	96.60	94.00	93.70	91.50	90.00	86.60	83.30	81.21	78.90	70.60
150.00	2.18	97.50	97.50	95.70	95.30	93.60	92.00	89.90	86.60	84.80	82.90	74.50
250.00	2.40	98.50	98.40	97.20	97.00	95.70	94.30	93.10	90.30	88.51	87.80	78.30
400.00	2.60	99.20	99.00	98.20	98.00	97.10	95.80	94.90	92.90	91.20	91.30	80.80
600.00	2.78	99.50	99.40	98.70	98.60	97.90	96.80	96.10	94.60	93.05	93.30	82.70
800.00	2.90	99.60	99.50	99.00	98.90	98.40	97.40	96.60	95.40	94.13	94.40	83.80
1000.00	3.00	99.70	99.60	99.20	99.10	98.70	97.70	97.00	95.90	94.86	95.10	84.10
10000.00	4.00	100.00	100.00	99.80	99.80	99.70	99.50	99.30	99.00	98.75	98.80	87.50
