# Energy loss (cm^2 / nucleon ug ) in a carbon foil
# Based on CFOIL.FOR, 4/21/1989
#		Hydrogen	Helium	Carbon	Nitrogen	Oxygen	Neon	Argon	Iron	Krypton
#Energy/Nucleon	1	4	12	14	16	20	40	56	84
1		0.16	0.43	1.28	1.41	1.42	1.3	3.08	3.25	4.1
1.5		0.18	0.48	1.38	1.51	1.52	1.37	3.08	3.25	4.1
2.5		0.23	0.57	1.52	1.71	1.72	1.54	3.18	3.25	4.1
4		0.28	0.66	1.72	1.91	1.99	1.8	3.45	3.4	4.2
6		0.34	0.75	1.91	2.18	2.29	2.1	3.8	3.72	4.43
8		0.38	0.84	2.1	2.39	2.51	2.35	4.15	4.13	4.78
10		0.42	0.91	2.28	2.58	2.73	2.6	4.45	4.6	5.19
15		0.5	1.05	2.6	2.97	3.22	3.13	5.2	5.65	6.3
25		0.6	1.25	3.25	3.67	4.05	4.15	6.3	7.4	8.38
40		0.7	1.47	4.1	4.55	5	5.27	7.77	9.48	10.8
60		0.75	1.65	4.95	5.5	6.02	6.5	9.6	11.8	13.6
80		0.75	1.82	5.58	6.25	7	7.58	11.3	13.9	16.1
100		0.725	1.86	6.05	6.8	7.62	8.56	12.8	15.9	18.5
150		0.64	1.93	6.75	7.95	8.9	10.7	16.3	20.9	24.8
250		0.51	1.81	7.2	8.7	10.1	13.6	21	27.3	33.7
400		0.4	1.53	7.1	8.8	10.2	15.2	24.5	33.1	42.4
600		0.32	1.24	6.8	8.3	9.8	15.2	26.6	36.9	48.6
800		0.27	1.04	6.25	7.75	9.35	14.4	26.8	38	51
1000		0.23	0.89	5.8	7.2	8.85	13.4	26.3	37.9	51.5
10000		0.04	0.16	1.45	1.95	2.5	3.9	10.4	18.3	29.3
