 SWICS EFFICIENCIES FOR C_

 incident ion: Z= 6, M= 12.000 amu
 carbon foil thickness= 2.5 microg/squarecm
 detector threshold= 40.0 keV, electronic FWHM= 12.0 keV
 electrons needed to trigger MCPs: TH1=1.10, TH2=1.10
 constants for sec. electrons: CONST1=0.525, CONST2=0.543

     ETOT    EPERM    EFOIL    ETOTF    EMEAS    FWHMT    PROB1   PROBSE    PROB2   PROBST    PROBT    PROB3    P3/P1    P2*P3
    [keV]  [keV/u]    [keV]    [keV]    [keV]    [keV]

 1200.000  100.000   15.477 1184.523 1090.032   32.273  0.95228  0.99855  0.99728  0.99585  1.00000  0.99585  1.04575  0.99314
 1080.000   90.000   14.862 1065.138  975.567   31.962  0.94578  0.99813  0.99621  0.99468  1.00000  0.99468  1.05170  0.99091
  972.000   81.000   14.228  957.772  873.039   31.652  0.93819  0.99760  0.99474  0.99319  1.00000  0.99319  1.05862  0.98796
  874.800   72.900   13.589  861.211  779.282   31.208  0.92949  0.99692  0.99275  0.99129  1.00000  0.99129  1.06649  0.98410
  787.320   65.610   12.954  774.366  695.537   30.771  0.91966  0.99605  0.99010  0.98889  1.00000  0.98889  1.07528  0.97910
  708.588   59.049   12.331  696.257  620.466   30.343  0.90874  0.99495  0.98665  0.98586  1.00000  0.98586  1.08487  0.97271
  637.729   53.144   11.728  626.001  552.911   29.923  0.89677  0.99354  0.98225  0.98205  1.00000  0.98205  1.09511  0.96462
  573.956   47.830   11.149  562.807  492.647   29.510  0.88383  0.99176  0.97673  0.97729  1.00000  0.97729  1.10574  0.95455
  516.561   43.047   10.597  505.964  438.887   29.106  0.87004  0.98951  0.96994  0.97136  1.00000  0.97136  1.11646  0.94216
  464.905   38.742   10.074  454.830  390.605   28.579  0.85550  0.98669  0.96173  0.96404  1.00000  0.96404  1.12687  0.92714
  418.414   34.868    9.582  408.833  347.282   27.943  0.84037  0.98316  0.95197  0.95506  1.00000  0.95506  1.13648  0.90918
  376.573   31.381    9.120  367.453  308.695   27.327  0.82476  0.97876  0.94053  0.94413  1.00000  0.94413  1.14473  0.88798
  338.915   28.243    8.688  330.228  274.330   26.730  0.80884  0.97332  0.92728  0.93097  1.00000  0.93097  1.15100  0.86328
  305.024   25.419    8.285  296.739  243.631   26.152  0.79260  0.96663  0.91186  0.91530  1.00000  0.91530  1.15481  0.83462
  274.521   22.877    7.889  266.633  215.558   25.592  0.77529  0.95848  0.89180  0.89684  1.00000  0.89684  1.15678  0.79980
