 SWICS EFFICIENCIES FOR FE

 incident ion: Z=26, M= 55.940 amu
 carbon foil thickness= 2.5 microg/squarecm
 detector threshold= 40.0 keV, electronic FWHM= 12.0 keV
 electrons needed to trigger MCPs: TH1=1.10, TH2=1.10
 constants for sec. electrons: CONST1=0.830, CONST2=0.279

     ETOT    EPERM    EFOIL    ETOTF    EMEAS    FWHMT    PROB1   PROBSE    PROB2   PROBST    PROBT    PROB3    P3/P1    P2*P3
    [keV]  [keV/u]    [keV]    [keV]    [keV]    [keV]

 5594.000  100.000   42.201 5551.799 4538.499  213.792  1.00000  0.99997  0.99989  0.99990  1.00000  0.99990  0.99990  0.99979
 5034.600   90.000   39.077 4995.523 4033.982  207.078  1.00000  0.99995  0.99977  0.99987  1.00000  0.99987  0.99987  0.99964
 4531.140   81.000   36.078 4495.062 3585.071  200.578  0.99999  0.99994  0.99953  0.99982  1.00000  0.99982  0.99983  0.99935
 4078.026   72.900   33.229 4044.797 3171.556  193.024  0.99998  0.99991  0.99905  0.99975  1.00000  0.99975  0.99978  0.99881
 3670.223   65.610   30.551 3639.672 2804.389  185.704  0.99994  0.99988  0.99819  0.99966  1.00000  0.99966  0.99972  0.99785
 3303.201   59.049   28.054 3275.147 2476.263  178.665  0.99987  0.99984  0.99672  0.99954  1.00000  0.99954  0.99967  0.99627
 2972.881   53.144   25.743 2947.138 2177.667  171.895  0.99973  0.99979  0.99439  0.99938  1.00000  0.99938  0.99965  0.99378
 2675.593   47.830   23.618 2651.975 1914.041  165.384  0.99946  0.99971  0.99091  0.99916  1.00000  0.99916  0.99970  0.99007
 2408.033   43.047   21.674 2386.359 1681.364  159.122  0.99898  0.99960  0.98598  0.99886  1.00000  0.99886  0.99988  0.98486
 2167.230   38.742   19.904 2147.326 1473.757  152.140  0.99818  0.99946  0.97936  0.99845  1.00000  0.99845  1.00027  0.97784
 1950.507   34.868   18.299 1932.208 1287.586  144.047  0.99693  0.99927  0.97087  0.99790  1.00000  0.99790  1.00097  0.96883
 1755.456   31.381   16.847 1738.609 1123.898  136.389  0.99508  0.99901  0.96040  0.99716  1.00000  0.99716  1.00209  0.95767
 1579.911   28.243   15.539 1564.372  980.057  129.143  0.99248  0.99866  0.94796  0.99616  1.00000  0.99616  1.00371  0.94432
 1421.920   25.419   14.362 1407.558  853.728  122.286  0.98899  0.99818  0.93362  0.99482  1.00000  0.99482  1.00589  0.92879
 1279.728   22.877   13.268 1266.459  744.048  115.799  0.98431  0.99754  0.91440  0.99303  1.00000  0.99303  1.00886  0.90803
