 SWICS EFFICIENCIES FOR KR

 incident ion: Z=36, M= 83.920 amu
 carbon foil thickness= 2.5 microg/squarecm
 detector threshold= 40.0 keV, electronic FWHM= 12.0 keV
 electrons needed to trigger MCPs: TH1=1.10, TH2=1.10
 constants for sec. electrons: CONST1=0.800, CONST2=0.282

     ETOT    EPERM    EFOIL    ETOTF    EMEAS    FWHMT    PROB1   PROBSE    PROB2   PROBST    PROBT    PROB3    P3/P1    P2*P3
    [keV]  [keV/u]    [keV]    [keV]    [keV]    [keV]

 8392.000  100.000   47.354 8344.646 6466.932  334.345  1.00000  0.99998  0.99996  0.99993  1.00000  0.99993  0.99993  0.99989
 7552.800   90.000   43.335 7509.465 5734.509  326.220  1.00000  0.99997  0.99990  0.99991  1.00000  0.99991  0.99991  0.99981
 6797.520   81.000   39.527 6757.993 5084.020  318.295  1.00000  0.99996  0.99978  0.99988  1.00000  0.99988  0.99988  0.99965
 6117.768   72.900   35.956 6081.813 4485.354  306.752  0.99999  0.99994  0.99949  0.99983  1.00000  0.99983  0.99984  0.99932
 5505.991   65.610   32.639 5473.353 3954.387  295.387  0.99996  0.99992  0.99890  0.99977  1.00000  0.99977  0.99981  0.99867
 4955.392   59.049   29.583 4925.810 3483.146  284.446  0.99989  0.99989  0.99776  0.99969  1.00000  0.99969  0.99979  0.99744
 4459.853   53.144   26.788 4433.065 3060.966  273.912  0.99974  0.99985  0.99575  0.99957  1.00000  0.99957  0.99984  0.99532
 4013.867   47.830   24.247 3989.621 2688.403  263.769  0.99942  0.99980  0.99248  0.99942  1.00000  0.99942  1.00000  0.99190
 3612.480   43.047   21.949 3590.531 2359.744  254.004  0.99880  0.99973  0.98753  0.99921  1.00000  0.99921  1.00041  0.98675
 3251.232   38.742   20.128 3231.104 2068.734  242.868  0.99792  0.99963  0.98049  0.99893  1.00000  0.99893  1.00101  0.97945
 2926.109   34.868   19.349 2906.760 1810.052  229.303  0.99734  0.99950  0.97104  0.99855  1.00000  0.99855  1.00122  0.96964
 2633.498   31.381   18.599 2614.899 1582.400  216.495  0.99663  0.99932  0.95959  0.99804  1.00000  0.99804  1.00141  0.95771
 2370.148   28.243   17.878 2352.270 1382.161  204.404  0.99577  0.99908  0.95190  0.99735  1.00000  0.99735  1.00158  0.94937
 2133.134   25.419   17.186 2115.948 1206.130  192.989  0.99474  0.99875  0.94323  0.99642  1.00000  0.99642  1.00169  0.93985
