 SWICS EFFICIENCIES FOR O_

 incident ion: Z= 8, M= 15.995 amu
 carbon foil thickness= 2.5 microg/squarecm
 detector threshold= 40.0 keV, electronic FWHM= 12.0 keV
 electrons needed to trigger MCPs: TH1=1.10, TH2=1.10
 constants for sec. electrons: CONST1=0.525, CONST2=0.454

     ETOT    EPERM    EFOIL    ETOTF    EMEAS    FWHMT    PROB1   PROBSE    PROB2   PROBST    PROBT    PROB3    P3/P1    P2*P3
    [keV]  [keV/u]    [keV]    [keV]    [keV]    [keV]

 1599.500  100.000   20.321 1579.179 1408.490   50.847  0.98223  0.99969  0.99905  0.99912  1.00000  0.99912  1.01719  0.99817
 1439.550   90.000   19.406 1420.144 1259.152   50.384  0.97851  0.99959  0.99854  0.99882  1.00000  0.99882  1.02076  0.99736
 1295.595   81.000   18.479 1277.115 1125.576   49.916  0.97395  0.99945  0.99777  0.99842  1.00000  0.99842  1.02512  0.99619
 1166.036   72.900   17.556 1148.479 1004.934   49.025  0.96848  0.99927  0.99666  0.99789  1.00000  0.99789  1.03037  0.99455
 1049.432   65.610   16.649 1032.783  897.161   48.151  0.96200  0.99902  0.99508  0.99719  1.00000  0.99719  1.03657  0.99227
  944.489   59.049   15.769  928.720  800.502   47.295  0.95446  0.99869  0.99291  0.99625  1.00000  0.99625  1.04378  0.98918
  850.040   53.144   14.923  835.117  713.423   46.456  0.94584  0.99825  0.99000  0.99501  1.00000  0.99501  1.05198  0.98507
  765.036   47.830   14.117  750.919  635.740   45.633  0.93614  0.99767  0.98623  0.99338  1.00000  0.99338  1.06114  0.97970
  688.532   43.047   13.354  675.178  566.439   44.827  0.92539  0.99689  0.98145  0.99122  1.00000  0.99122  1.07114  0.97284
  619.679   38.742   12.636  607.043  503.525   43.713  0.91365  0.99587  0.97554  0.98840  1.00000  0.98840  1.08181  0.96422
  557.711   34.868   11.964  545.747  446.498   42.312  0.90103  0.99452  0.96837  0.98472  1.00000  0.98472  1.09288  0.95357
  501.940   31.381   11.338  490.602  395.819   40.962  0.88763  0.99275  0.95985  0.97994  1.00000  0.97994  1.10399  0.94059
  451.746   28.243   10.755  440.991  350.788   39.662  0.87358  0.99044  0.94987  0.97378  1.00000  0.97378  1.11470  0.92497
  406.571   25.419   10.215  396.356  310.678   38.410  0.85894  0.98742  0.93815  0.96591  1.00000  0.96591  1.12453  0.90617
  365.914   22.877    9.689  356.226  274.059   37.205  0.84303  0.98351  0.92221  0.95594  1.00000  0.95594  1.13393  0.88159
