 SWICS EFFICIENCIES FOR S_

 incident ion: Z=16, M= 31.970 amu
 carbon foil thickness= 2.5 microg/squarecm
 detector threshold= 40.0 keV, electronic FWHM= 12.0 keV
 electrons needed to trigger MCPs: TH1=1.10, TH2=1.10
 constants for sec. electrons: CONST1=0.800, CONST2=0.282

     ETOT    EPERM    EFOIL    ETOTF    EMEAS    FWHMT    PROB1   PROBSE    PROB2   PROBST    PROBT    PROB3    P3/P1    P2*P3
    [keV]  [keV/u]    [keV]    [keV]    [keV]    [keV]

 3197.000  100.000   34.059 3162.941 2728.124  132.883  0.99997  0.99992  0.99946  0.99976  1.00000  0.99976  0.99979  0.99922
 2877.300   90.000   32.109 2845.191 2430.220  129.348  0.99995  0.99989  0.99905  0.99968  1.00000  0.99968  0.99973  0.99873
 2589.570   81.000   30.195 2559.375 2164.652  125.908  0.99991  0.99985  0.99837  0.99957  1.00000  0.99957  0.99966  0.99794
 2330.613   72.900   28.337 2302.276 1925.996  121.616  0.99984  0.99980  0.99731  0.99942  1.00000  0.99942  0.99958  0.99673
 2097.552   65.610   26.555 2070.997 1713.428  117.467  0.99971  0.99973  0.99570  0.99921  1.00000  0.99921  0.99950  0.99492
 1887.797   59.049   24.861 1862.935 1523.070  113.462  0.99951  0.99963  0.99339  0.99894  1.00000  0.99894  0.99943  0.99233
 1699.017   53.144   23.264 1675.753 1351.177  109.596  0.99919  0.99950  0.99018  0.99857  1.00000  0.99857  0.99938  0.98877
 1529.115   47.830   21.768 1507.347 1198.422  105.864  0.99870  0.99933  0.98591  0.99808  1.00000  0.99808  0.99937  0.98402
 1376.204   43.047   20.375 1355.829 1062.691  102.261  0.99799  0.99910  0.98043  0.99741  1.00000  0.99741  0.99942  0.97790
 1238.583   38.742   19.084 1219.500  941.297   98.115  0.99699  0.99879  0.97362  0.99653  1.00000  0.99653  0.99954  0.97024
 1114.725   34.868   17.892 1096.833  832.640   93.356  0.99562  0.99837  0.96540  0.99534  1.00000  0.99534  0.99972  0.96091
 1003.252   31.381   16.795  986.457  736.276   88.833  0.99383  0.99781  0.95576  0.99377  1.00000  0.99377  0.99994  0.94980
  902.927   28.243   15.788  887.139  650.833   84.535  0.99155  0.99706  0.94468  0.99168  1.00000  0.99168  1.00014  0.93682
  812.634   25.419   14.867  797.768  575.034   80.451  0.98873  0.99606  0.93216  0.98892  1.00000  0.98892  1.00020  0.92183
  731.371   22.877   13.986  717.385  505.195   76.572  0.98513  0.99474  0.91510  0.98530  1.00000  0.98530  1.00017  0.90164
