# AXLV2 efficiency data for eff. validation only
# ion	etot	eff
H+	25.80	0.0000
H+	27.52	0.0000
H+	29.24	0.0001
H+	30.96	0.0003
H+	32.68	0.0008
H+	34.40	0.0020
H+	36.12	0.0043
H+	37.84	0.0082
H+	39.56	0.0147
H+	41.28	0.0243
H+	43.00	0.0362
H+	44.72	0.0508
H+	46.44	0.0667
H+	48.16	0.0827
H+	49.88	0.0963
H+	51.60	0.1083
H+	53.32	0.1183
H+	55.04	0.1251
H+	56.76	0.1298
H+	58.48	0.1329
H+	60.20	0.1351
H+	61.92	0.1370
H+	63.64	0.1384
H+	65.36	0.1393
H+	67.08	0.1403
H+	68.80	0.1414
H+	70.52	0.1424
H+	72.24	0.1433
H+	73.96	0.1441
H+	75.68	0.1449
H+	77.40	0.1457
H+	79.12	0.1464
H+	80.84	0.1471
H+	82.56	0.1477
H+	84.28	0.1483
H+	86.00	0.1489
H+	87.72	0.1494
H+	89.44	0.1499
H+	91.16	0.1503
H+	92.88	0.1507
H+	94.60	0.1510
H+	96.32	0.1514
H+	98.04	0.1517
H+	99.76	0.1519
H+	101.48	0.1522
H+	103.20	0.1524
H+	104.92	0.1525
H+	106.64	0.1527
H+	108.36	0.1528
H+	110.08	0.1530
3He1+	25.80	0.0000
3He1+	27.52	0.0000
3He1+	29.24	0.0000
3He1+	30.96	0.0000
3He1+	32.68	0.0000
3He1+	34.40	0.0001
3He1+	36.12	0.0004
3He1+	37.84	0.0008
3He1+	39.56	0.0019
3He1+	41.28	0.0037
3He1+	43.00	0.0069
3He1+	44.72	0.0121
3He1+	46.44	0.0196
3He1+	48.16	0.0294
3He1+	49.88	0.0421
3He1+	51.60	0.0570
3He1+	53.32	0.0731
3He1+	55.04	0.0892
3He1+	56.76	0.1046
3He1+	58.48	0.1192
3He1+	60.20	0.1325
3He1+	61.92	0.1429
3He1+	63.64	0.1516
3He1+	65.36	0.1589
3He1+	67.08	0.1653
3He1+	68.80	0.1713
3He1+	70.52	0.1766
3He1+	72.24	0.1814
3He1+	73.96	0.1858
3He1+	75.68	0.1905
3He1+	77.40	0.1951
3He1+	79.12	0.1996
3He1+	80.84	0.2040
3He1+	82.56	0.2083
3He1+	84.28	0.2125
3He1+	86.00	0.2167
3He1+	87.72	0.2208
3He1+	89.44	0.2249
3He1+	91.16	0.2289
3He1+	92.88	0.2328
3He1+	94.60	0.2367
3He1+	96.32	0.2406
3He1+	98.04	0.2443
3He1+	99.76	0.2480
3He1+	101.48	0.2515
3He1+	103.20	0.2548
3He1+	104.92	0.2580
3He1+	106.64	0.2611
3He1+	108.36	0.2640
3He1+	110.08	0.2669
