#
#   VizieR Astronomical Server: http://vizier.u-strasbg.fr	2007-04-18T07:47:59
#   Explanations and Statistics of UCDs:			See LINK below
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#    (link)
#
#Coosys	J2000:	eq_FK5 2000
#INFO	-ref=Vxml17128	

#RESOURCE=41330403
#Name: J/A+AS/133/403
#Title:	Ionization balance for optically thin plasmas (Mazzotta+ 1998)
#Table	J_A_AS_133_403_table2:
#Name: J/A+AS/133/403/table2
#Title:	Ionization equilibrium
#Column	El	(A2)	Element symbol	[ucd=phys.atmol.element]
#Column	logT	(F5.2)	Temperature (log_10_(T))	[ucd=phys.temperature]
#Column	LogX1	(F6.3)	? Ionic fraction for Element I (neutral)
#---List of  values:     	[ucd=phys.abund]
#Column	LogX2	(F6.3)	? Ionic fraction for Element II
#---List of  values:     	[ucd=phys.abund]
#Column	LogX3	(F6.3)	? Ionic fraction for Element III
#---List of  values:     	[ucd=phys.abund]
#Column	LogX4	(F6.3)	? Ionic fraction for Element IV
#---List of  values:     	[ucd=phys.abund]
#Column	LogX5	(F6.3)	? Ionic fraction for Element V
#---List of  values:     	[ucd=phys.abund]
#Column	LogX6	(F6.3)	? Ionic fraction for Element VI
#---List of  values:     	[ucd=phys.abund]
#Column	LogX7	(F6.3)	? Ionic fraction for Element VII
#---List of  values:     	[ucd=phys.abund]
#Column	LogX8	(F6.3)	? Ionic fraction for Element VIII
#---List of  values:     	[ucd=phys.abund]
#Column	LogX9	(F6.3)	? Ionic fraction for Element IX
#---List of  values:     	[ucd=phys.abund]
El	logT	LogX1	LogX2	LogX3	LogX4	LogX5	LogX6	LogX7	LogX8	LogX9
	[K]									
--	-----	------	------	------	------	------	------	------	------	------
C 	 4.00	-0.018	-1.396	      	      	      	      	      	      	
C 	 4.10	-0.212	-0.414	      	      	      	      	      	      	
C 	 4.20	-0.736	-0.088	-4.494	      	      	      	      	      	
C 	 4.30	-1.252	-0.026	-2.824	      	      	      	      	      	
C 	 4.40	-1.639	-0.020	-1.664	      	      	      	      	      	
C 	 4.50	-1.974	-0.068	-0.875	      	      	      	      	      	
C 	 4.60	-2.379	-0.233	-0.386	-4.640	      	      	      	      	
C 	 4.70	-2.906	-0.540	-0.149	-3.042	      	      	      	      	
C 	 4.80	-3.499	-0.917	-0.063	-1.850	-4.308	      	      	      	
C 	 4.90	-4.130	-1.335	-0.076	-0.965	-2.243	      	      	      	
C 	 5.00	      	-1.932	-0.315	-0.468	-0.786	      	      	      	
C 	 5.10	      	-3.025	-1.087	-0.633	-0.165	      	      	      	
C 	 5.20	      	-4.344	-2.116	-1.152	-0.035	      	      	      	
C 	 5.30	      	      	-3.064	-1.664	-0.010	      	      	      	
C 	 5.40	      	      	-3.884	-2.107	-0.003	      	      	      	
C 	 5.50	      	      	-4.590	-2.483	-0.001	      	      	      	
C 	 5.60	      	      	      	-2.794	-0.001	-3.929	      	      	
C 	 5.70	      	      	      	-3.023	-0.001	-2.761	      	      	
C 	 5.80	      	      	      	-3.148	-0.007	-1.803	-4.081	      	
C 	 5.90	      	      	      	-3.210	-0.044	-1.039	-2.395	      	
C 	 6.00	      	      	      	-3.353	-0.202	-0.528	-1.127	      	
C 	 6.10	      	      	      	-3.797	-0.658	-0.422	-0.396	      	
C 	 6.20	      	      	      	-4.534	-1.386	-0.674	-0.127	      	
C 	 6.30	      	      	      	      	-2.150	-1.030	-0.046	      	
C 	 6.40	      	      	      	      	-2.846	-1.374	-0.019	      	
C 	 6.50	      	      	      	      	-3.463	-1.682	-0.009	      	
C 	 6.60	      	      	      	      	-4.007	-1.952	-0.005	      	
C 	 6.70	      	      	      	      	-4.493	-2.191	-0.003	      	
C 	 6.80	      	      	      	      	      	-2.403	-0.002	      	
C 	 6.90	      	      	      	      	      	-2.593	-0.001	      	
C 	 7.00	      	      	      	      	      	-2.766	-0.001	      	
C 	 7.10	      	      	      	      	      	-2.924	-0.001	      	

