Step : 1	Numberions : 38
Name		xpos	ypos	sigxp	sigxm	sigyp	sigym	vel	mass	charge		peakhigh
  H1+		45.18	19.86	1.50	1.50	2.03	2.03	4088.79	1.00	1.00		0.00
3He1+		92.14	18.64	1.96	1.96	1.91	1.91	2360.66	3.00	1.00		0.00
3He2+		59.49	38.24	1.50	1.50	3.91	3.91	3338.48	3.00	2.00		0.00
 He1+		110.86	18.41	2.29	2.29	1.88	1.88	2044.39	4.00	1.00		0.00
 He2+		74.22	37.94	1.64	1.64	3.88	3.88	2891.21	4.00	2.00		0.00
  C3+		110.05	50.24	2.27	2.27	5.15	5.15	2044.39	12.00	3.00		0.00
  C4+		93.19	69.06	1.97	1.97	7.07	7.07	2360.66	12.00	4.00		0.00
  C5+		81.79	88.18	1.77	1.77	9.03	9.03	2639.30	12.00	5.00		0.00
  C6+		73.46	107.53	1.63	1.63	11.00	11.00	2891.21	12.00	6.00		0.00
  O4+		109.81	64.42	2.26	2.26	6.61	6.61	2044.39	16.00	4.00		0.00
  O5+		96.68	82.97	2.03	2.03	8.51	8.51	2285.70	16.00	5.00		0.00
  O6+		87.09	101.85	1.87	1.87	10.44	10.44	2503.86	16.00	6.00		0.00
  O7+		79.69	120.42	1.73	1.73	12.34	12.34	2704.48	16.00	7.00		0.00
  N4+		101.86	66.97	2.13	2.13	6.87	6.87	2185.55	14.00	4.00		0.00
  N5+		89.57	85.97	1.91	1.91	8.81	8.81	2443.52	14.00	5.00		0.00
  N6+		80.58	105.07	1.75	1.75	10.76	10.76	2676.74	14.00	6.00		0.00
 Ne7+		90.83	113.48	1.93	1.93	11.64	11.64	2418.96	20.00	7.00		0.00
 Mg5+		121.44	73.35	2.47	2.47	7.55	7.55	1866.27	24.00	5.00		0.00
 Mg6+		109.75	91.04	2.26	2.26	9.36	9.36	2044.39	24.00	6.00		0.00
 Mg7+		100.74	108.70	2.10	2.10	11.16	11.16	2208.20	24.00	7.00		0.00
 Si5+		132.63	68.88	2.66	2.66	7.10	7.10	1727.83	28.00	5.00		0.00
 Si6+		119.92	86.20	2.44	2.44	8.87	8.87	1892.74	28.00	6.00		0.00
 Si7+		110.14	103.56	2.27	2.27	10.65	10.65	2044.39	28.00	7.00		0.00
 Si8+		102.33	120.97	2.13	2.13	12.43	12.43	2185.55	28.00	8.00		0.00
  S5+		142.89	65.08	2.84	2.84	6.72	6.72	1616.24	32.00	5.00		0.00
  S6+		129.25	81.67	2.60	2.60	8.42	8.42	1770.50	32.00	6.00		0.00
  S7+		118.76	98.79	2.42	2.42	10.17	10.17	1912.36	32.00	7.00		0.00
  S8+		110.39	115.90	2.27	2.27	11.93	11.93	2044.39	32.00	8.00		0.00
 Ca6+		146.49	72.15	2.90	2.90	7.47	7.47	1583.58	40.00	6.00		0.00
 Ca7+		134.69	87.87	2.70	2.70	9.08	9.08	1710.46	40.00	7.00		0.00
 Ca8+		125.29	104.06	2.53	2.53	10.74	10.74	1828.56	40.00	8.00		0.00
 Ca9+		117.26	121.33	2.39	2.39	12.51	12.51	1939.48	40.00	9.00		0.00
 Fe5+		194.63	44.49	3.73	3.73	4.66	4.66	1221.76	56.00	5.00		0.00
 Fe6+		176.34	56.82	3.41	3.41	5.93	5.93	1338.37	56.00	6.00		0.00
 Fe7+		162.31	69.76	3.17	3.17	7.27	7.27	1445.60	56.00	7.00		0.00
 Fe8+		151.13	83.33	2.98	2.98	8.67	8.67	1545.42	56.00	8.00		0.00
 Fe9+		141.83	97.91	2.82	2.82	10.17	10.17	1639.16	56.00	9.00		0.00
Fe10+		133.79	113.43	2.68	2.68	11.76	11.76	1727.83	56.00	10.00		0.00
Step : 2	Numberions : 46
Name		xpos	ypos	sigxp	sigxm	sigyp	sigym	vel	mass	charge		peakhigh
  H1+		49.45	17.72	1.50	1.50	1.81	1.81	3805.54	1.00	1.00		0.00
3He1+		98.97	16.58	2.07	2.07	1.70	1.70	2197.13	3.00	1.00		0.00
3He2+		64.52	34.07	1.50	1.50	3.49	3.49	3107.21	3.00	2.00		0.00
 He1+		118.46	16.37	2.41	2.41	1.68	1.68	1902.77	4.00	1.00		0.00
 He2+		79.70	33.75	1.73	1.73	3.46	3.46	2690.93	4.00	2.00		0.00
  C3+		117.64	44.31	2.40	2.40	4.56	4.56	1902.77	12.00	3.00		0.00
  C4+		99.81	61.00	2.08	2.08	6.27	6.27	2197.13	12.00	4.00		0.00
  C5+		87.76	78.04	1.87	1.87	8.01	8.01	2456.47	12.00	5.00		0.00
  C6+		78.94	95.17	1.71	1.71	9.77	9.77	2690.93	12.00	6.00		0.00
  O4+		117.32	56.65	2.39	2.39	5.83	5.83	1902.77	16.00	4.00		0.00
  O5+		103.44	73.05	2.14	2.14	7.51	7.51	2127.36	16.00	5.00		0.00
  O6+		93.28	89.81	1.96	1.96	9.23	9.23	2330.41	16.00	6.00		0.00
  O7+		85.45	106.58	1.83	1.83	10.95	10.95	2517.13	16.00	7.00		0.00
  O8+		79.18	123.23	1.72	1.72	12.66	12.66	2690.93	16.00	8.00		0.00
  N4+		108.95	59.05	2.24	2.24	6.07	6.07	2034.15	14.00	4.00		0.00
  N5+		95.95	75.82	2.01	2.01	7.79	7.79	2274.25	14.00	5.00		0.00
  N6+		86.43	92.89	1.84	1.84	9.54	9.54	2491.31	14.00	6.00		0.00
  N7+		79.08	110.02	1.71	1.71	11.30	11.30	2690.93	14.00	7.00		0.00
 Ne7+		97.17	99.84	2.03	2.03	10.28	10.28	2251.39	20.00	7.00		0.00
 Ne8+		90.16	116.25	1.91	1.91	11.96	11.96	2406.84	20.00	8.00		0.00
 Mg5+		129.51	63.94	2.60	2.60	6.60	6.60	1736.98	24.00	5.00		0.00
 Mg6+		117.12	79.86	2.38	2.38	8.24	8.24	1902.77	24.00	6.00		0.00
 Mg7+		107.58	95.51	2.22	2.22	9.85	9.85	2055.23	24.00	7.00		0.00
 Mg8+		99.93	111.37	2.08	2.08	11.47	11.47	2197.13	24.00	8.00		0.00
 Si5+		141.36	59.90	2.81	2.81	6.20	6.20	1608.14	28.00	5.00		0.00
 Si6+		127.87	75.07	2.57	2.57	7.76	7.76	1761.62	28.00	6.00		0.00
 Si7+		117.49	90.70	2.39	2.39	9.36	9.36	1902.77	28.00	7.00		0.00
 Si8+		109.21	106.13	2.24	2.24	10.95	10.95	2034.15	28.00	8.00		0.00
 Si9+		102.40	121.72	2.12	2.12	12.55	12.55	2157.54	28.00	9.00		0.00
  S5+		152.23	56.48	3.00	3.00	5.86	5.86	1504.27	32.00	5.00		0.00
  S6+		137.74	70.99	2.74	2.74	7.35	7.35	1647.85	32.00	6.00		0.00
  S7+		126.60	85.98	2.55	2.55	8.89	8.89	1779.88	32.00	7.00		0.00
  S8+		117.71	101.37	2.39	2.39	10.47	10.47	1902.77	32.00	8.00		0.00
  S9+		110.40	116.61	2.26	2.26	12.04	12.04	2018.19	32.00	9.00		0.00
 Ca6+		155.98	62.38	3.06	3.06	6.49	6.49	1473.88	40.00	6.00		0.00
 Ca7+		143.43	76.08	2.84	2.84	7.90	7.90	1591.97	40.00	7.00		0.00
 Ca8+		133.43	90.22	2.67	2.67	9.36	9.36	1701.89	40.00	8.00		0.00
 Ca9+		125.22	104.73	2.52	2.52	10.85	10.85	1805.13	40.00	9.00		0.00
Ca10+		118.34	119.56	2.40	2.40	12.38	12.38	1902.77	40.00	10.00		0.00
 Fe5+		207.04	38.29	3.93	3.93	4.04	4.04	1137.12	56.00	5.00		0.00
 Fe6+		187.58	48.76	3.60	3.60	5.13	5.13	1245.66	56.00	6.00		0.00
 Fe7+		172.63	60.00	3.34	3.34	6.29	6.29	1345.46	56.00	7.00		0.00
 Fe8+		160.74	71.64	3.13	3.13	7.50	7.50	1438.36	56.00	8.00		0.00
 Fe9+		150.97	83.86	2.96	2.96	8.76	8.76	1525.61	56.00	9.00		0.00
Fe10+		142.78	96.71	2.82	2.82	10.09	10.09	1608.14	56.00	10.00		0.00
Fe11+		135.31	110.79	2.69	2.69	11.54	11.54	1686.63	56.00	11.00		0.00
Step : 3	Numberions : 52
Name		xpos	ypos	sigxp	sigxm	sigyp	sigym	vel	mass	charge		peakhigh
