Result of the manual clicking for H+ in EpQ vs. Tch
Tch   Ech
133.40   31.14
137.39   29.00
140.45   27.03
144.13   26.00
147.81   24.98
151.18   24.21
154.55   22.15
158.84   21.04
161.29   20.95
165.27   20.01
168.34   19.07
173.24   18.99
174.47   17.96
178.45   18.04
181.21   18.13
184.27   17.10
186.73   17.10
193.16   16.25
194.39   16.08
196.23   16.16
200.82   16.16
200.82   16.08
205.73   15.99
205.42   16.16
207.56   16.16
210.63   16.16
211.85   16.16
213.69   16.16
214.31   16.08
219.52   16.25
