Result of the manual clicking for He1+ in Ech vs. Tch
Tch   ECH_max
256   33 
257   28 
258   30 
259   28 
260   28 
261   29 
262   29 
263   31 
264   27 
265   32 
266   32 
267   28 
268   30 
269   32 
270   31 
271   30 
272   30 
273   32 
274   30 
275   30 
276   30 
277   32 
278   30 
279   32 
280   27 
281   29 
282   29 
283   29 
284   30 
285   32 
286   29 
287   28 
288   29 
289   28 
290   30 
291   29 
292   29 
293   28 
294   28 
295   28 
296   28 
297   30 
298   28 
299   27 
300   27 
301   27 
302   27 
303   27 
304   27 
305   26 
306   26 
307   27 
308   24 
309   26 
310   26 
311   25 
312   23 
313   26 
314   25 
315   27 
316   24 
317   25 
318   26 
319   27 
320   25 
321   24 
322   25 
323   26 
324   24 
325   24 
326   24 
327   24 
328   23 
329   24 
330   23 
331   24 
332   22 
333   22 
334   22 
335   23 
336   24 
337   25 
338   22 
339   23 
340   23 
341   24 
342   22 
343   21 
344   19 
345   23 
346   21 
347   21 
348   21 
349   23 
350   21 
351   22 
352   22 
353   21 
354   22 
355   21 
356   20 
357   21 
358   20 
359   20 
360   20 
361   20 
362   20 
363   21 
364   21 
365   21 
366   20 
367   20 
368   20 
369   21 
370   20 
371   19 
372   19 
373   18 
374   17 
375   17 
377   20 
378   20 
379   19 
380   20 
381   19 
382   20 
383   18 
384   19 
385   19 
386   18 
387   19 
388   19 
389   17 
390   18 
391   18 
392   17 
393   18 
394   18 
395   18 
396   18 
397   17 
398   17 
399   17 
400   17 
